
[Gradient Statistics for Epoch 1]
xlstm.layers.1.slstm.Wf.block.bias       | mean: -5.58046e+00 | std:  3.74930e+01 | min: -1.20125e+02 | max:  1.02062e+02
xlstm.layers.1.slstm.Wo.block.weight     | mean: -5.20266e-03 | std:  2.74423e+00 | min: -2.32031e+01 | max:  2.22188e+01
xlstm.layers.1.slstm.Wo.block.bias       | mean: -7.29574e+00 | std:  3.59320e+01 | min: -1.45500e+02 | max:  1.02375e+02
xlstm.layers.1.slstm.Rz.block.weight     | mean: -2.24052e-02 | std:  3.71207e+01 | min: -1.77625e+02 | max:  1.82375e+02
xlstm.layers.1.slstm.Rz.block.bias       | mean:  5.50302e+00 | std:  4.26016e+02 | min: -1.41300e+03 | max:  1.42200e+03
xlstm.layers.1.slstm.Ri.block.weight     | mean:  2.51245e-03 | std:  1.72685e+00 | min: -1.11797e+01 | max:  1.21719e+01
xlstm.layers.1.slstm.Ri.block.bias       | mean: -4.79334e+00 | std:  2.40818e+01 | min: -8.25625e+01 | max:  5.46250e+01
xlstm.layers.1.slstm.Rf.block.weight     | mean: -1.76547e-03 | std:  2.61442e+00 | min: -1.86094e+01 | max:  1.54062e+01
xlstm.layers.1.slstm.Rf.block.bias       | mean: -5.58046e+00 | std:  3.74930e+01 | min: -1.20125e+02 | max:  1.02062e+02
xlstm.layers.1.slstm.Ro.block.weight     | mean: -8.88399e-04 | std:  2.66288e+00 | min: -1.96562e+01 | max:  2.10938e+01
xlstm.layers.1.slstm.Ro.block.bias       | mean: -7.29574e+00 | std:  3.59320e+01 | min: -1.45500e+02 | max:  1.02375e+02
xlstm.layers.1.mlstm.layer_norm.weight   | mean:  2.57501e-01 | std:  1.33564e+01 | min: -6.88453e+01 | max:  5.66673e+01
xlstm.layers.1.mlstm.layer_norm.bias     | mean:  6.21796e-01 | std:  1.43341e+01 | min: -4.31950e+01 | max:  4.69637e+01
xlstm.layers.1.mlstm.causal_conv.conv.weight | mean:  3.85798e+00 | std:  1.68572e+02 | min: -2.95250e+02 | max:  3.01500e+02
xlstm.layers.1.mlstm.causal_conv.conv.bias | mean: -2.00067e+01 | std:  1.83672e+02 | min: -3.60500e+02 | max:  2.15000e+02
xlstm.layers.1.mlstm.Wk.block.weight     | mean:  2.05805e-02 | std:  2.12177e+00 | min: -2.37969e+01 | max:  1.20078e+01
xlstm.layers.1.mlstm.Wk.block.bias       | mean:  4.47273e-02 | std:  5.18140e+00 | min: -3.17812e+01 | max:  1.91562e+01
xlstm.layers.1.mlstm.Wv.block.weight     | mean:  3.58236e-02 | std:  2.28718e+00 | min: -1.92188e+01 | max:  1.93906e+01
xlstm.layers.1.mlstm.Wv.block.bias       | mean:  9.80167e-01 | std:  3.09256e+01 | min: -1.25188e+02 | max:  1.42500e+02
xlstm.layers.1.mlstm.Wi.weight           | mean:  3.82416e-04 | std:  4.16236e-01 | min: -3.86719e+00 | max:  5.00781e+00
xlstm.layers.1.mlstm.Wi.bias             | mean: -4.89047e-03 | std:  9.50211e-01 | min: -4.27344e+00 | max:  3.98438e+00
xlstm.layers.1.mlstm.Wf.weight           | mean: -1.39349e+00 | std:  1.54326e+01 | min: -1.49500e+02 | max:  1.11688e+02
xlstm.layers.1.mlstm.Wf.bias             | mean: -5.60464e+00 | std:  3.64697e+01 | min: -1.11438e+02 | max:  9.55000e+01
xlstm.layers.1.mlstm.Wo.weight           | mean: -9.29821e-03 | std:  2.21320e+00 | min: -2.13750e+01 | max:  1.87188e+01
xlstm.layers.1.mlstm.Wo.bias             | mean: -3.59366e+00 | std:  3.04791e+01 | min: -1.11250e+02 | max:  9.80625e+01
classifier.weight                        | mean: -5.50969e-04 | std:  2.09517e+02 | min: -9.58500e+02 | max:  1.31500e+03
classifier.bias                          | mean:  1.64286e-01 | std:  3.98399e+03 | min: -9.92000e+03 | max:  6.66400e+03

[Gradient Statistics for Epoch 1]
xlstm.layers.0.slstm.layer_norm.weight   | mean: -5.00443e-01 | std:  2.95656e+01 | min: -7.57978e+01 | max:  8.73120e+01
xlstm.layers.0.slstm.layer_norm.bias     | mean: -1.43374e+00 | std:  2.91483e+01 | min: -5.98422e+01 | max:  5.37390e+01
xlstm.layers.0.slstm.causal_conv.conv.weight | mean:  1.41112e+01 | std:  1.53210e+02 | min: -3.47500e+02 | max:  2.34625e+02
xlstm.layers.0.slstm.causal_conv.conv.bias | mean: -1.06763e+02 | std:  1.13738e+02 | min: -3.15000e+02 | max:  4.15000e+01
xlstm.layers.0.slstm.Wz.block.weight     | mean: -6.28627e+00 | std:  1.83776e+02 | min: -1.00150e+03 | max:  9.78500e+02
xlstm.layers.0.slstm.Wz.block.bias       | mean: -6.58518e+00 | std:  2.02340e+02 | min: -7.25000e+02 | max:  6.07000e+02
xlstm.layers.0.slstm.Wi.block.weight     | mean: -5.29007e+00 | std:  2.99373e+01 | min: -1.61750e+02 | max:  1.76125e+02
xlstm.layers.0.slstm.Wi.block.bias       | mean: -1.75260e+01 | std:  5.99592e+01 | min: -1.98250e+02 | max:  2.23250e+02
xlstm.layers.0.slstm.Wf.block.weight     | mean: -1.38158e+00 | std:  6.65659e+00 | min: -5.27188e+01 | max:  5.84062e+01
xlstm.layers.0.slstm.Wf.block.bias       | mean: -4.59082e+00 | std:  1.33060e+01 | min: -5.94688e+01 | max:  7.07500e+01
xlstm.layers.0.slstm.Wo.block.weight     | mean: -5.82633e-01 | std:  1.76297e+01 | min: -1.17875e+02 | max:  8.33125e+01
xlstm.layers.0.slstm.Wo.block.bias       | mean: -4.53619e+00 | std:  2.31814e+01 | min: -1.07438e+02 | max:  6.18750e+01
xlstm.layers.0.slstm.Rz.block.weight     | mean: -3.14789e-02 | std:  1.04552e+01 | min: -6.26875e+01 | max:  7.76250e+01
xlstm.layers.0.slstm.Rz.block.bias       | mean: -6.58518e+00 | std:  2.02340e+02 | min: -7.25000e+02 | max:  6.07000e+02
xlstm.layers.0.slstm.Ri.block.weight     | mean:  9.40057e-03 | std:  2.65112e+00 | min: -1.66562e+01 | max:  2.10781e+01
xlstm.layers.0.slstm.Ri.block.bias       | mean: -1.75260e+01 | std:  5.99592e+01 | min: -1.98250e+02 | max:  2.23250e+02
xlstm.layers.0.slstm.Rf.block.weight     | mean:  3.55280e-03 | std:  6.15914e-01 | min: -6.62891e+00 | max:  8.36719e+00
xlstm.layers.0.slstm.Rf.block.bias       | mean: -4.59082e+00 | std:  1.33060e+01 | min: -5.94688e+01 | max:  7.07500e+01
xlstm.layers.0.slstm.Ro.block.weight     | mean:  1.87467e-02 | std:  9.71810e-01 | min: -7.08594e+00 | max:  5.90234e+00
xlstm.layers.0.slstm.Ro.block.bias       | mean: -4.53619e+00 | std:  2.31814e+01 | min: -1.07438e+02 | max:  6.18750e+01
xlstm.layers.0.mlstm.layer_norm.weight   | mean:  1.28617e+00 | std:  9.40467e+00 | min: -2.17928e+01 | max:  3.57989e+01
xlstm.layers.0.mlstm.layer_norm.bias     | mean: -1.49074e+00 | std:  9.12493e+00 | min: -2.36341e+01 | max:  2.34407e+01
xlstm.layers.0.mlstm.causal_conv.conv.weight | mean:  1.77488e+00 | std:  5.80626e+01 | min: -1.10750e+02 | max:  1.24562e+02
xlstm.layers.0.mlstm.causal_conv.conv.bias | mean:  3.44688e+01 | std:  1.03614e+01 | min:  2.19844e+01 | max:  4.84375e+01
xlstm.layers.0.mlstm.Wk.block.weight     | mean: -1.12055e-02 | std:  5.31550e+00 | min: -3.76562e+01 | max:  5.67188e+01
xlstm.layers.0.mlstm.Wk.block.bias       | mean:  1.23243e+00 | std:  2.18920e+01 | min: -9.81875e+01 | max:  7.73750e+01
xlstm.layers.0.mlstm.Wv.block.weight     | mean:  1.93962e-01 | std:  5.49914e+00 | min: -2.72656e+01 | max:  5.35938e+01
xlstm.layers.0.mlstm.Wv.block.bias       | mean: -8.18346e-01 | std:  6.65227e+00 | min: -2.47031e+01 | max:  1.60781e+01
xlstm.layers.0.mlstm.Wi.weight           | mean:  1.60058e-03 | std:  5.10077e-01 | min: -5.91016e+00 | max:  4.64062e+00
xlstm.layers.0.mlstm.Wi.bias             | mean:  2.27524e-02 | std:  1.65679e+00 | min: -7.62891e+00 | max:  5.55078e+00
xlstm.layers.0.mlstm.Wf.weight           | mean:  2.92536e-01 | std:  3.28018e+00 | min: -2.59062e+01 | max:  2.38594e+01
xlstm.layers.0.mlstm.Wf.bias             | mean: -4.79326e+00 | std:  1.42810e+01 | min: -5.98125e+01 | max:  7.48125e+01
xlstm.layers.0.mlstm.Wo.weight           | mean: -5.59503e-02 | std:  3.20828e+00 | min: -1.92344e+01 | max:  1.85000e+01
xlstm.layers.0.mlstm.Wo.bias             | mean: -9.34752e-01 | std:  4.22375e+00 | min: -2.24844e+01 | max:  1.03047e+01
xlstm.layers.1.slstm.layer_norm.weight   | mean: -1.31472e+00 | std:  1.70387e+01 | min: -6.10269e+01 | max:  7.87985e+01
xlstm.layers.1.slstm.layer_norm.bias     | mean:  2.68872e+00 | std:  1.51531e+01 | min: -3.33579e+01 | max:  4.49935e+01
xlstm.layers.1.slstm.causal_conv.conv.weight | mean:  4.56878e+01 | std:  1.41995e+02 | min: -2.06125e+02 | max:  2.34125e+02
xlstm.layers.1.slstm.causal_conv.conv.bias | mean: -9.57254e+01 | std:  1.01599e+02 | min: -2.70000e+02 | max:  1.64531e+01
xlstm.layers.1.slstm.Wz.block.weight     | mean:  9.35474e-02 | std:  3.74736e+01 | min: -2.01375e+02 | max:  1.98375e+02
xlstm.layers.1.slstm.Wz.block.bias       | mean: -1.30626e+01 | std:  4.05322e+02 | min: -1.20400e+03 | max:  1.16000e+03
xlstm.layers.1.slstm.Wi.block.weight     | mean: -4.97503e-01 | std:  8.78772e+00 | min: -7.97500e+01 | max:  4.82500e+01
xlstm.layers.1.slstm.Wi.block.bias       | mean: -5.05089e+00 | std:  2.61439e+01 | min: -9.06250e+01 | max:  7.41250e+01
xlstm.layers.1.slstm.Wf.block.weight     | mean: -1.15425e+00 | std:  1.25009e+01 | min: -9.29375e+01 | max:  8.74375e+01
xlstm.layers.1.slstm.Wf.block.bias       | mean: -1.14133e+01 | std:  3.71235e+01 | min: -1.42875e+02 | max:  1.62000e+02
xlstm.layers.1.slstm.Wo.block.weight     | mean:  2.90480e-02 | std:  2.82358e+00 | min: -1.96406e+01 | max:  1.93438e+01
xlstm.layers.1.slstm.Wo.block.bias       | mean: -1.18705e+01 | std:  3.55443e+01 | min: -1.67375e+02 | max:  1.27312e+02
xlstm.layers.1.slstm.Rz.block.weight     | mean:  6.02388e-02 | std:  3.70187e+01 | min: -2.05875e+02 | max:  1.93375e+02
xlstm.layers.1.slstm.Rz.block.bias       | mean: -1.30626e+01 | std:  4.05322e+02 | min: -1.20400e+03 | max:  1.16000e+03
xlstm.layers.1.slstm.Ri.block.weight     | mean:  1.86236e-02 | std:  1.94584e+00 | min: -1.48828e+01 | max:  1.20547e+01
xlstm.layers.1.slstm.Ri.block.bias       | mean: -5.05089e+00 | std:  2.61439e+01 | min: -9.06250e+01 | max:  7.41250e+01
xlstm.layers.1.slstm.Rf.block.weight     | mean: -5.16456e-03 | std:  2.73279e+00 | min: -1.80938e+01 | max:  1.79688e+01
