Classification Report:
              precision    recall  f1-score     support
pop            0.573171  0.470000  0.516484  100.000000
classical      0.352113  0.252525  0.294118   99.000000
jazz           0.533333  0.727273  0.615385   99.000000
hiphop         0.695122  0.570000  0.626374  100.000000
reggae         0.628571  0.880000  0.733333  100.000000
disco          0.357143  0.515464  0.421941   97.000000
metal          0.705357  0.790000  0.745283  100.000000
country        0.723077  0.479592  0.576687   98.000000
blues          0.882353  0.765306  0.819672   98.000000
rock           0.448718  0.353535  0.395480   99.000000
accuracy       0.580808  0.580808  0.580808    0.580808
macro avg      0.589896  0.580370  0.574476  990.000000
weighted avg   0.590181  0.580808  0.574861  990.000000
