Classification Report:
              precision    recall  f1-score     support
pop            0.583333  0.070000  0.125000  100.000000
classical      0.000000  0.000000  0.000000   99.000000
jazz           0.227273  0.101010  0.139860   99.000000
hiphop         0.304348  0.140000  0.191781  100.000000
reggae         0.320819  0.940000  0.478372  100.000000
disco          0.000000  0.000000  0.000000   97.000000
metal          0.275660  0.940000  0.426304  100.000000
country        0.500000  0.061224  0.109091   98.000000
blues          0.395833  0.969388  0.562130   98.000000
rock           0.000000  0.000000  0.000000   99.000000
accuracy       0.323232  0.323232  0.323232    0.323232
macro avg      0.260727  0.322162  0.203254  990.000000
weighted avg   0.261321  0.323232  0.203810  990.000000
