
[Gradient Statistics for Epoch 1]
xlstm.layers.0.slstm.layer_norm.weight   | mean: -4.99643e+00 | std:  2.58386e+01 | min: -8.82265e+01 | max:  7.57537e+01
xlstm.layers.0.slstm.layer_norm.bias     | mean: -8.60654e+00 | std:  2.84075e+01 | min: -8.90166e+01 | max:  5.59245e+01
xlstm.layers.0.slstm.causal_conv.conv.weight | mean: -6.27775e+01 | std:  1.67664e+02 | min: -4.52500e+02 | max:  2.04000e+02
xlstm.layers.0.slstm.causal_conv.conv.bias | mean: -1.95786e+02 | std:  2.12452e+02 | min: -5.50500e+02 | max:  8.66875e+01
xlstm.layers.0.slstm.Wz.block.weight     | mean: -6.23141e+00 | std:  1.82539e+02 | min: -7.00500e+02 | max:  1.03000e+03
xlstm.layers.0.slstm.Wz.block.bias       | mean:  5.20541e+00 | std:  1.96488e+02 | min: -4.95250e+02 | max:  5.57000e+02
xlstm.layers.0.slstm.Wi.block.weight     | mean: -3.71520e+00 | std:  2.58943e+01 | min: -1.60250e+02 | max:  1.14312e+02
xlstm.layers.0.slstm.Wi.block.bias       | mean: -1.21207e+01 | std:  6.10397e+01 | min: -2.09625e+02 | max:  1.66375e+02
xlstm.layers.0.slstm.Wf.block.weight     | mean: -1.09125e+00 | std:  5.02242e+00 | min: -3.83438e+01 | max:  2.08594e+01
xlstm.layers.0.slstm.Wf.block.bias       | mean: -3.57417e+00 | std:  1.18757e+01 | min: -4.65938e+01 | max:  2.82656e+01
xlstm.layers.0.slstm.Wo.block.weight     | mean:  2.35816e-01 | std:  1.75411e+01 | min: -1.01250e+02 | max:  9.46250e+01
xlstm.layers.0.slstm.Wo.block.bias       | mean: -5.90324e+00 | std:  2.09162e+01 | min: -9.90000e+01 | max:  4.17500e+01
xlstm.layers.0.slstm.Rz.block.weight     | mean:  5.15065e-02 | std:  9.53654e+00 | min: -5.36250e+01 | max:  5.63438e+01
xlstm.layers.0.slstm.Rz.block.bias       | mean:  5.20541e+00 | std:  1.96488e+02 | min: -4.95250e+02 | max:  5.57000e+02
xlstm.layers.0.slstm.Ri.block.weight     | mean: -1.10727e-02 | std:  2.44381e+00 | min: -1.35781e+01 | max:  1.54688e+01
xlstm.layers.0.slstm.Ri.block.bias       | mean: -1.21207e+01 | std:  6.10397e+01 | min: -2.09625e+02 | max:  1.66375e+02
xlstm.layers.0.slstm.Rf.block.weight     | mean: -1.96558e-03 | std:  4.70173e-01 | min: -2.91016e+00 | max:  2.79883e+00
xlstm.layers.0.slstm.Rf.block.bias       | mean: -3.57417e+00 | std:  1.18757e+01 | min: -4.65938e+01 | max:  2.82656e+01
xlstm.layers.0.slstm.Ro.block.weight     | mean: -2.86438e-03 | std:  8.67517e-01 | min: -3.92578e+00 | max:  4.86328e+00
xlstm.layers.0.slstm.Ro.block.bias       | mean: -5.90324e+00 | std:  2.09162e+01 | min: -9.90000e+01 | max:  4.17500e+01
xlstm.layers.0.mlstm.layer_norm.weight   | mean: -1.03851e+00 | std:  1.06722e+01 | min: -3.98496e+01 | max:  3.60236e+01
xlstm.layers.0.mlstm.layer_norm.bias     | mean:  8.36323e-01 | std:  9.76845e+00 | min: -3.11494e+01 | max:  2.47081e+01
xlstm.layers.0.mlstm.causal_conv.conv.weight | mean:  8.07454e+00 | std:  5.45303e+01 | min: -6.00000e+01 | max:  1.85125e+02
xlstm.layers.0.mlstm.causal_conv.conv.bias | mean: -2.03588e+01 | std:  4.20211e+01 | min: -1.04125e+02 | max:  3.02500e+01
xlstm.layers.0.mlstm.Wk.block.weight     | mean:  1.02830e-01 | std:  5.71810e+00 | min: -4.32500e+01 | max:  4.85312e+01
xlstm.layers.0.mlstm.Wk.block.bias       | mean: -5.28156e+00 | std:  2.24840e+01 | min: -9.06250e+01 | max:  6.71250e+01
xlstm.layers.0.mlstm.Wv.block.weight     | mean: -6.85217e-02 | std:  5.80979e+00 | min: -4.28438e+01 | max:  2.94688e+01
xlstm.layers.0.mlstm.Wv.block.bias       | mean:  3.11692e-01 | std:  7.10878e+00 | min: -2.33594e+01 | max:  1.87500e+01
xlstm.layers.0.mlstm.Wi.weight           | mean:  3.94273e-03 | std:  5.73364e-01 | min: -8.09375e+00 | max:  3.99219e+00
xlstm.layers.0.mlstm.Wi.bias             | mean: -1.08170e-01 | std:  1.85890e+00 | min: -8.25000e+00 | max:  7.23438e+00
xlstm.layers.0.mlstm.Wf.weight           | mean:  8.35910e-02 | std:  2.95206e+00 | min: -2.87031e+01 | max:  1.56484e+01
xlstm.layers.0.mlstm.Wf.bias             | mean: -3.82846e+00 | std:  1.23959e+01 | min: -4.81250e+01 | max:  3.04531e+01
xlstm.layers.0.mlstm.Wo.weight           | mean:  4.30364e-02 | std:  3.15342e+00 | min: -1.77812e+01 | max:  1.62656e+01
xlstm.layers.0.mlstm.Wo.bias             | mean: -8.95497e-01 | std:  3.76069e+00 | min: -1.32344e+01 | max:  1.07578e+01
xlstm.layers.1.slstm.layer_norm.weight   | mean: -1.53308e+00 | std:  1.48474e+01 | min: -6.32295e+01 | max:  4.05132e+01
xlstm.layers.1.slstm.layer_norm.bias     | mean:  1.27440e+00 | std:  1.42776e+01 | min: -3.57933e+01 | max:  5.45403e+01
xlstm.layers.1.slstm.causal_conv.conv.weight | mean:  4.48832e+01 | std:  1.37877e+02 | min: -2.70500e+02 | max:  2.58750e+02
xlstm.layers.1.slstm.causal_conv.conv.bias | mean: -5.64169e+01 | std:  9.34467e+01 | min: -2.13625e+02 | max:  5.09375e+01
xlstm.layers.1.slstm.Wz.block.weight     | mean:  6.81139e-01 | std:  4.02220e+01 | min: -1.73375e+02 | max:  1.95625e+02
xlstm.layers.1.slstm.Wz.block.bias       | mean: -6.57959e-01 | std:  4.33493e+02 | min: -1.17800e+03 | max:  1.22800e+03
xlstm.layers.1.slstm.Wi.block.weight     | mean: -1.90325e-01 | std:  6.70733e+00 | min: -5.33750e+01 | max:  4.22188e+01
xlstm.layers.1.slstm.Wi.block.bias       | mean: -6.27916e+00 | std:  2.43362e+01 | min: -9.59375e+01 | max:  5.90625e+01
xlstm.layers.1.slstm.Wf.block.weight     | mean: -2.38888e-01 | std:  9.73312e+00 | min: -9.12500e+01 | max:  5.42812e+01
xlstm.layers.1.slstm.Wf.block.bias       | mean: -6.90229e+00 | std:  3.77429e+01 | min: -1.21375e+02 | max:  9.16875e+01
xlstm.layers.1.slstm.Wo.block.weight     | mean:  4.96478e-03 | std:  2.86649e+00 | min: -1.83594e+01 | max:  1.74219e+01
xlstm.layers.1.slstm.Wo.block.bias       | mean: -9.64847e+00 | std:  3.57676e+01 | min: -1.44875e+02 | max:  9.97500e+01
xlstm.layers.1.slstm.Rz.block.weight     | mean:  6.50263e-01 | std:  3.87440e+01 | min: -1.66875e+02 | max:  1.78750e+02
xlstm.layers.1.slstm.Rz.block.bias       | mean: -6.57959e-01 | std:  4.33493e+02 | min: -1.17800e+03 | max:  1.22800e+03
xlstm.layers.1.slstm.Ri.block.weight     | mean:  1.01453e-02 | std:  1.82592e+00 | min: -1.16719e+01 | max:  1.24141e+01
xlstm.layers.1.slstm.Ri.block.bias       | mean: -6.27916e+00 | std:  2.43362e+01 | min: -9.59375e+01 | max:  5.90625e+01
xlstm.layers.1.slstm.Rf.block.weight     | mean: -7.78710e-03 | std:  2.65275e+00 | min: -1.61875e+01 | max:  1.61250e+01
xlstm.layers.1.slstm.Rf.block.bias       | mean: -6.90229e+00 | std:  3.77429e+01 | min: -1.21375e+02 | max:  9.16875e+01
xlstm.layers.1.slstm.Ro.block.weight     | mean:  9.76952e-03 | std:  2.65888e+00 | min: -1.85938e+01 | max:  1.94688e+01
xlstm.layers.1.slstm.Ro.block.bias       | mean: -9.64847e+00 | std:  3.57676e+01 | min: -1.44875e+02 | max:  9.97500e+01
xlstm.layers.1.mlstm.layer_norm.weight   | mean: -9.31385e-01 | std:  1.38837e+01 | min: -4.00752e+01 | max:  4.81331e+01
xlstm.layers.1.mlstm.layer_norm.bias     | mean: -1.18280e-01 | std:  1.34225e+01 | min: -5.19970e+01 | max:  3.61435e+01
xlstm.layers.1.mlstm.causal_conv.conv.weight | mean: -5.39009e+01 | std:  9.04029e+01 | min: -2.24750e+02 | max:  1.18875e+02
xlstm.layers.1.mlstm.causal_conv.conv.bias | mean:  3.25988e+01 | std:  8.91645e+01 | min: -1.26688e+02 | max:  1.51125e+02
xlstm.layers.1.mlstm.Wk.block.weight     | mean:  5.54435e-03 | std:  1.71021e+00 | min: -1.01875e+01 | max:  1.17812e+01
xlstm.layers.1.mlstm.Wk.block.bias       | mean:  7.38463e-02 | std:  5.17140e+00 | min: -1.64062e+01 | max:  2.01094e+01
xlstm.layers.1.mlstm.Wv.block.weight     | mean: -1.47494e-02 | std:  1.83077e+00 | min: -9.92188e+00 | max:  1.01875e+01
xlstm.layers.1.mlstm.Wv.block.bias       | mean:  1.49693e+00 | std:  2.42280e+01 | min: -8.15625e+01 | max:  9.20625e+01
xlstm.layers.1.mlstm.Wi.weight           | mean: -1.68099e-03 | std:  2.92598e-01 | min: -3.64844e+00 | max:  3.83984e+00
xlstm.layers.1.mlstm.Wi.bias             | mean: -8.67574e-03 | std:  8.24112e-01 | min: -2.93555e+00 | max:  2.85352e+00
xlstm.layers.1.mlstm.Wf.weight           | mean: -5.29013e-01 | std:  1.22047e+01 | min: -9.14375e+01 | max:  7.18750e+01
xlstm.layers.1.mlstm.Wf.bias             | mean: -6.87530e+00 | std:  3.76998e+01 | min: -1.23938e+02 | max:  9.07500e+01
xlstm.layers.1.mlstm.Wo.weight           | mean: -1.19685e-02 | std:  2.27613e+00 | min: -1.44766e+01 | max:  1.36250e+01
xlstm.layers.1.mlstm.Wo.bias             | mean: -4.55693e+00 | std:  2.95419e+01 | min: -9.88750e+01 | max:  8.51250e+01
classifier.weight                        | mean: -2.51334e-04 | std:  2.16950e+02 | min: -8.74500e+02 | max:  1.27900e+03
classifier.bias                          | mean: -1.00000e-01 | std:  3.60734e+03 | min: -9.83200e+03 | max:  6.66800e+03

[Gradient Statistics for Epoch 2]
xlstm.layers.0.slstm.layer_norm.weight   | mean: -2.19238e+00 | std:  2.57906e+01 | min: -7.50619e+01 | max:  1.10886e+02
xlstm.layers.0.slstm.layer_norm.bias     | mean: -1.85983e+01 | std:  4.33316e+01 | min: -1.73330e+02 | max:  6.38729e+01
xlstm.layers.0.slstm.causal_conv.conv.weight | mean: -6.06380e+01 | std:  2.02025e+02 | min: -3.36250e+02 | max:  2.95250e+02
xlstm.layers.0.slstm.causal_conv.conv.bias | mean: -4.09018e+02 | std:  1.88261e+02 | min: -7.78000e+02 | max: -2.13500e+02
xlstm.layers.0.slstm.Wz.block.weight     | mean:  4.05041e+00 | std:  2.03121e+02 | min: -8.46500e+02 | max:  8.76500e+02
xlstm.layers.0.slstm.Wz.block.bias       | mean:  7.42943e+00 | std:  2.16984e+02 | min: -8.06500e+02 | max:  5.40000e+02
xlstm.layers.0.slstm.Wi.block.weight     | mean: -1.29873e+01 | std:  2.90323e+01 | min: -1.81750e+02 | max:  1.12500e+02
xlstm.layers.0.slstm.Wi.block.bias       | mean: -4.16477e+01 | std:  7.05179e+01 | min: -2.50625e+02 | max:  1.35500e+02
xlstm.layers.0.slstm.Wf.block.weight     | mean: -4.20872e+00 | std:  7.53763e+00 | min: -5.78125e+01 | max:  2.68750e+01
xlstm.layers.0.slstm.Wf.block.bias       | mean: -1.34051e+01 | std:  1.90453e+01 | min: -1.17812e+02 | max:  2.80781e+01
