Classification Report:
              precision    recall  f1-score     support
pop            0.511111  0.460000  0.484211  100.000000
classical      0.307692  0.121212  0.173913   99.000000
jazz           0.467742  0.585859  0.520179   99.000000
hiphop         0.421875  0.540000  0.473684  100.000000
reggae         0.589552  0.790000  0.675214  100.000000
disco          0.402985  0.278351  0.329268   97.000000
metal          0.594406  0.850000  0.699588  100.000000
country        0.638889  0.469388  0.541176   98.000000
blues          0.893617  0.857143  0.875000   98.000000
rock           0.353535  0.353535  0.353535   99.000000
accuracy       0.531313  0.531313  0.531313    0.531313
macro avg      0.518140  0.530549  0.512577  990.000000
weighted avg   0.517917  0.531313  0.512838  990.000000
