
[Gradient Statistics for Epoch 1]
xlstm.layers.0.slstm.Wf.block.weight     | mean: -1.17129e+01 | std:  3.15740e+01 | min: -2.79500e+02 | max:  1.01875e+02
xlstm.layers.0.slstm.Wf.block.bias       | mean: -4.31020e+01 | std:  6.93900e+01 | min: -4.08000e+02 | max:  1.02812e+02
xlstm.layers.0.slstm.Wo.block.weight     | mean:  1.18183e+00 | std:  7.63111e+01 | min: -4.94500e+02 | max:  4.61500e+02
xlstm.layers.0.slstm.Wo.block.bias       | mean: -5.37506e+01 | std:  9.30683e+01 | min: -4.12250e+02 | max:  1.62000e+02
xlstm.layers.0.slstm.Rz.block.weight     | mean: -5.31205e-01 | std:  5.69017e+01 | min: -3.49750e+02 | max:  3.20000e+02
xlstm.layers.0.slstm.Rz.block.bias       | mean: -5.16136e+00 | std:  3.53436e+02 | min: -1.33100e+03 | max:  9.42000e+02
xlstm.layers.0.slstm.Ri.block.weight     | mean: -3.14127e-01 | std:  1.41681e+01 | min: -1.14750e+02 | max:  1.00125e+02
xlstm.layers.0.slstm.Ri.block.bias       | mean: -6.84059e+01 | std:  1.17444e+02 | min: -5.78500e+02 | max:  2.03750e+02
xlstm.layers.0.slstm.Rf.block.weight     | mean: -2.31014e-01 | std:  8.04788e+00 | min: -5.99688e+01 | max:  5.44688e+01
xlstm.layers.0.slstm.Rf.block.bias       | mean: -4.31020e+01 | std:  6.93900e+01 | min: -4.08000e+02 | max:  1.02812e+02
xlstm.layers.0.slstm.Ro.block.weight     | mean: -2.57845e-01 | std:  1.10246e+01 | min: -7.65000e+01 | max:  6.76250e+01
xlstm.layers.0.slstm.Ro.block.bias       | mean: -5.37506e+01 | std:  9.30683e+01 | min: -4.12250e+02 | max:  1.62000e+02
xlstm.layers.0.mlstm.layer_norm.weight   | mean: -1.37653e+01 | std:  2.31653e+01 | min: -7.48695e+01 | max:  6.24168e+01
xlstm.layers.0.mlstm.layer_norm.bias     | mean:  2.13790e+00 | std:  2.28993e+01 | min: -7.39446e+01 | max:  4.27789e+01
xlstm.layers.0.mlstm.causal_conv.conv.weight | mean: -3.27333e+01 | std:  3.31083e+02 | min: -5.00500e+02 | max:  6.50500e+02
xlstm.layers.0.mlstm.causal_conv.conv.bias | mean: -3.54316e+02 | std:  3.11834e+02 | min: -8.68500e+02 | max: -2.70781e+01
xlstm.layers.0.mlstm.Wk.block.weight     | mean: -2.74966e-01 | std:  1.02775e+01 | min: -9.78125e+01 | max:  6.69375e+01
xlstm.layers.0.mlstm.Wk.block.bias       | mean: -2.14045e+00 | std:  3.94172e+01 | min: -1.58875e+02 | max:  1.02750e+02
xlstm.layers.0.mlstm.Wv.block.weight     | mean: -1.61426e-01 | std:  9.80313e+00 | min: -7.53125e+01 | max:  8.31250e+01
xlstm.layers.0.mlstm.Wv.block.bias       | mean: -6.68778e-03 | std:  1.22408e+01 | min: -5.88125e+01 | max:  4.98438e+01
xlstm.layers.0.mlstm.Wi.weight           | mean: -1.17366e-01 | std:  1.04156e+00 | min: -1.68281e+01 | max:  5.86719e+00
xlstm.layers.0.mlstm.Wi.bias             | mean: -8.99873e-01 | std:  3.06366e+00 | min: -2.25469e+01 | max:  8.82031e+00
xlstm.layers.0.mlstm.Wf.weight           | mean: -6.32862e+00 | std:  2.20882e+01 | min: -1.79750e+02 | max:  8.15625e+01
xlstm.layers.0.mlstm.Wf.bias             | mean: -4.96563e+01 | std:  8.17570e+01 | min: -4.88250e+02 | max:  1.16938e+02
xlstm.layers.0.mlstm.Wo.weight           | mean:  5.69410e-01 | std:  3.00070e+01 | min: -1.92750e+02 | max:  1.81875e+02
xlstm.layers.0.mlstm.Wo.bias             | mean: -2.25625e+01 | std:  3.84024e+01 | min: -1.99375e+02 | max:  6.08438e+01
classifier.weight                        | mean:  4.06830e-03 | std:  4.95768e+02 | min: -2.84800e+03 | max:  2.61000e+03
classifier.bias                          | mean:  1.36250e-01 | std:  2.87137e+03 | min: -5.77200e+03 | max:  6.67200e+03

[Gradient Statistics for Epoch 3]
xlstm.layers.0.slstm.layer_norm.weight   | mean: -1.02960e+02 | std:  1.06629e+02 | min: -4.09535e+02 | max:  8.98757e+01
xlstm.layers.0.slstm.layer_norm.bias     | mean: -6.73785e+01 | std:  8.30760e+01 | min: -2.91381e+02 | max:  1.18926e+02
xlstm.layers.0.slstm.causal_conv.conv.weight | mean: -6.05817e+02 | std:  1.60584e+03 | min: -2.87400e+03 | max:  1.98400e+03
xlstm.layers.0.slstm.causal_conv.conv.bias | mean: -2.95720e+03 | std:  9.78791e+02 | min: -4.02800e+03 | max: -1.87600e+03
xlstm.layers.0.slstm.Wz.block.weight     | mean:  4.45415e+00 | std:  3.85356e+02 | min: -2.03600e+03 | max:  2.30800e+03
xlstm.layers.0.slstm.Wz.block.bias       | mean:  1.68780e+01 | std:  3.82859e+02 | min: -1.44900e+03 | max:  1.18000e+03
xlstm.layers.0.slstm.Wi.block.weight     | mean: -2.67142e+01 | std:  6.08507e+01 | min: -3.84250e+02 | max:  1.91375e+02
xlstm.layers.0.slstm.Wi.block.bias       | mean: -8.58931e+01 | std:  1.13450e+02 | min: -5.86000e+02 | max:  1.82125e+02
xlstm.layers.0.slstm.Wf.block.weight     | mean: -1.81502e+01 | std:  3.96148e+01 | min: -2.97500e+02 | max:  1.61500e+02
xlstm.layers.0.slstm.Wf.block.bias       | mean: -5.87105e+01 | std:  7.43064e+01 | min: -3.59000e+02 | max:  1.15375e+02
xlstm.layers.0.slstm.Wo.block.weight     | mean: -4.77268e+00 | std:  7.88914e+01 | min: -4.14250e+02 | max:  3.47000e+02
xlstm.layers.0.slstm.Wo.block.bias       | mean: -7.46966e+01 | std:  9.73740e+01 | min: -3.95500e+02 | max:  1.51875e+02
xlstm.layers.0.slstm.Rz.block.weight     | mean: -8.97060e-01 | std:  6.97203e+01 | min: -5.10750e+02 | max:  4.58000e+02
xlstm.layers.0.slstm.Rz.block.bias       | mean:  1.68780e+01 | std:  3.82859e+02 | min: -1.44900e+03 | max:  1.18000e+03
xlstm.layers.0.slstm.Ri.block.weight     | mean: -5.83947e-01 | std:  1.69574e+01 | min: -1.44250e+02 | max:  1.34375e+02
xlstm.layers.0.slstm.Ri.block.bias       | mean: -8.58931e+01 | std:  1.13450e+02 | min: -5.86000e+02 | max:  1.82125e+02
xlstm.layers.0.slstm.Rf.block.weight     | mean: -3.84065e-01 | std:  1.13869e+01 | min: -1.05375e+02 | max:  1.03500e+02
xlstm.layers.0.slstm.Rf.block.bias       | mean: -5.87105e+01 | std:  7.43064e+01 | min: -3.59000e+02 | max:  1.15375e+02
xlstm.layers.0.slstm.Ro.block.weight     | mean: -5.26439e-01 | std:  1.43870e+01 | min: -1.04438e+02 | max:  1.11250e+02
xlstm.layers.0.slstm.Ro.block.bias       | mean: -7.46966e+01 | std:  9.73740e+01 | min: -3.95500e+02 | max:  1.51875e+02
xlstm.layers.0.mlstm.layer_norm.weight   | mean: -3.12166e+01 | std:  3.75968e+01 | min: -1.55066e+02 | max:  5.03468e+01
xlstm.layers.0.mlstm.layer_norm.bias     | mean:  5.10397e+00 | std:  3.42803e+01 | min: -1.03249e+02 | max:  8.07202e+01
xlstm.layers.0.mlstm.causal_conv.conv.weight | mean: -1.06471e+02 | std:  6.60092e+02 | min: -1.15500e+03 | max:  1.07300e+03
xlstm.layers.0.mlstm.causal_conv.conv.bias | mean: -9.90700e+02 | std:  2.27868e+02 | min: -1.28900e+03 | max: -7.44500e+02
xlstm.layers.0.mlstm.Wk.block.weight     | mean: -4.23047e-01 | std:  1.05118e+01 | min: -7.89375e+01 | max:  6.04375e+01
xlstm.layers.0.mlstm.Wk.block.bias       | mean: -2.83189e+00 | std:  3.61759e+01 | min: -1.44625e+02 | max:  9.23125e+01
xlstm.layers.0.mlstm.Wv.block.weight     | mean: -4.61145e-01 | std:  1.07489e+01 | min: -7.78125e+01 | max:  8.86875e+01
xlstm.layers.0.mlstm.Wv.block.bias       | mean: -1.81392e+00 | std:  1.44885e+01 | min: -7.00625e+01 | max:  5.08438e+01
xlstm.layers.0.mlstm.Wi.weight           | mean: -1.94369e-01 | std:  1.24503e+00 | min: -1.79531e+01 | max:  5.51953e+00
xlstm.layers.0.mlstm.Wi.bias             | mean: -1.27999e+00 | std:  3.33674e+00 | min: -2.20469e+01 | max:  7.29297e+00
xlstm.layers.0.mlstm.Wf.weight           | mean: -1.10872e+01 | std:  3.02834e+01 | min: -2.23875e+02 | max:  1.08688e+02
xlstm.layers.0.mlstm.Wf.bias             | mean: -7.32979e+01 | std:  9.22964e+01 | min: -4.59000e+02 | max:  1.50875e+02
xlstm.layers.0.mlstm.Wo.weight           | mean: -2.47146e+00 | std:  3.44494e+01 | min: -1.96375e+02 | max:  1.42000e+02
xlstm.layers.0.mlstm.Wo.bias             | mean: -3.28131e+01 | std:  4.24191e+01 | min: -1.81750e+02 | max:  4.82500e+01
classifier.weight                        | mean: -1.41418e-03 | std:  5.49884e+02 | min: -3.29600e+03 | max:  3.28000e+03
classifier.bias                          | mean: -7.37500e-02 | std:  2.53081e+03 | min: -4.52400e+03 | max:  4.84400e+03

[Gradient Statistics for Epoch 4]
xlstm.layers.0.slstm.layer_norm.weight   | mean: -8.47542e+01 | std:  1.58942e+02 | min: -6.08048e+02 | max:  2.14616e+02
xlstm.layers.0.slstm.layer_norm.bias     | mean: -4.81361e+01 | std:  1.64083e+02 | min: -3.84076e+02 | max:  4.00993e+02
xlstm.layers.0.slstm.causal_conv.conv.weight | mean: -1.23113e+02 | std:  1.77469e+03 | min: -2.76800e+03 | max:  2.54200e+03
xlstm.layers.0.slstm.causal_conv.conv.bias | mean: -2.22268e+03 | std:  2.09724e+03 | min: -4.23600e+03 | max:  4.78750e+01
xlstm.layers.0.slstm.Wz.block.weight     | mean: -1.76080e+00 | std:  4.57295e+02 | min: -3.17000e+03 | max:  2.61200e+03
xlstm.layers.0.slstm.Wz.block.bias       | mean:  4.88326e+01 | std:  5.47383e+02 | min: -1.95300e+03 | max:  2.12000e+03
xlstm.layers.0.slstm.Wi.block.weight     | mean: -1.37354e+01 | std:  8.29952e+01 | min: -3.99500e+02 | max:  4.47750e+02
