
[Gradient Statistics for Epoch 1]
xlstm.layers.0.slstm.layer_norm.weight   | mean: -1.39105e+00 | std:  1.50523e+01 | min: -3.14510e+01 | max:  3.90643e+01
xlstm.layers.0.slstm.layer_norm.bias     | mean:  1.40898e-01 | std:  1.38057e+01 | min: -4.38792e+01 | max:  2.51179e+01
xlstm.layers.0.slstm.causal_conv.conv.weight | mean:  6.38021e+00 | std:  1.11069e+02 | min: -2.04375e+02 | max:  1.83000e+02
xlstm.layers.0.slstm.causal_conv.conv.bias | mean:  4.65906e+01 | std:  1.14580e+02 | min: -1.05562e+02 | max:  1.81125e+02
xlstm.layers.0.slstm.Wz.block.weight     | mean: -4.05556e+00 | std:  1.79149e+02 | min: -8.62500e+02 | max:  8.86500e+02
xlstm.layers.0.slstm.Wz.block.bias       | mean:  1.12395e+01 | std:  1.89132e+02 | min: -6.33500e+02 | max:  5.13500e+02
xlstm.layers.0.slstm.Wi.block.weight     | mean:  8.99125e-01 | std:  1.10831e+01 | min: -7.76875e+01 | max:  6.85000e+01
xlstm.layers.0.slstm.Wi.block.bias       | mean: -1.03205e+01 | std:  4.69869e+01 | min: -1.53125e+02 | max:  1.55750e+02
xlstm.layers.0.slstm.Wf.block.weight     | mean:  6.11957e-01 | std:  5.97265e+00 | min: -4.75938e+01 | max:  4.18438e+01
xlstm.layers.0.slstm.Wf.block.bias       | mean: -7.10789e+00 | std:  2.62619e+01 | min: -1.30500e+02 | max:  7.35625e+01
xlstm.layers.0.slstm.Wo.block.weight     | mean: -3.26015e-02 | std:  2.84432e+01 | min: -1.31500e+02 | max:  1.83375e+02
xlstm.layers.0.slstm.Wo.block.bias       | mean: -7.08563e+00 | std:  3.49400e+01 | min: -1.19188e+02 | max:  1.11562e+02
xlstm.layers.0.slstm.Rz.block.weight     | mean: -3.07000e-02 | std:  2.31191e+01 | min: -1.26000e+02 | max:  1.51875e+02
xlstm.layers.0.slstm.Rz.block.bias       | mean:  1.12395e+01 | std:  1.89132e+02 | min: -6.33500e+02 | max:  5.13500e+02
xlstm.layers.0.slstm.Ri.block.weight     | mean: -2.59468e-02 | std:  4.69268e+00 | min: -3.11250e+01 | max:  2.63281e+01
xlstm.layers.0.slstm.Ri.block.bias       | mean: -1.03205e+01 | std:  4.69869e+01 | min: -1.53125e+02 | max:  1.55750e+02
xlstm.layers.0.slstm.Rf.block.weight     | mean: -1.30438e-02 | std:  2.58233e+00 | min: -1.77031e+01 | max:  2.00312e+01
xlstm.layers.0.slstm.Rf.block.bias       | mean: -7.10789e+00 | std:  2.62619e+01 | min: -1.30500e+02 | max:  7.35625e+01
xlstm.layers.0.slstm.Ro.block.weight     | mean: -1.38788e-02 | std:  3.59356e+00 | min: -2.21406e+01 | max:  2.34219e+01
xlstm.layers.0.slstm.Ro.block.bias       | mean: -7.08563e+00 | std:  3.49400e+01 | min: -1.19188e+02 | max:  1.11562e+02
xlstm.layers.0.mlstm.layer_norm.weight   | mean: -2.27879e+00 | std:  1.10773e+01 | min: -3.23739e+01 | max:  3.16026e+01
xlstm.layers.0.mlstm.layer_norm.bias     | mean:  5.50285e+00 | std:  1.32546e+01 | min: -3.01508e+01 | max:  3.49013e+01
xlstm.layers.0.mlstm.causal_conv.conv.weight | mean:  2.20937e+00 | std:  9.60873e+01 | min: -1.25500e+02 | max:  1.78000e+02
xlstm.layers.0.mlstm.causal_conv.conv.bias | mean: -1.54819e+02 | std:  1.26332e+02 | min: -2.77250e+02 | max:  5.12812e+01
xlstm.layers.0.mlstm.Wk.block.weight     | mean:  1.51941e-01 | std:  6.69129e+00 | min: -4.53125e+01 | max:  5.89688e+01
xlstm.layers.0.mlstm.Wk.block.bias       | mean:  4.49110e-01 | std:  1.63128e+01 | min: -8.98125e+01 | max:  7.31875e+01
xlstm.layers.0.mlstm.Wv.block.weight     | mean: -3.82361e-01 | std:  7.59389e+00 | min: -8.55625e+01 | max:  5.35000e+01
xlstm.layers.0.mlstm.Wv.block.bias       | mean:  2.70725e-01 | std:  9.93747e+00 | min: -4.44375e+01 | max:  5.18750e+01
xlstm.layers.0.mlstm.Wi.weight           | mean: -6.83492e-02 | std:  9.63374e-01 | min: -1.00312e+01 | max:  6.88281e+00
xlstm.layers.0.mlstm.Wi.bias             | mean: -2.39267e-01 | std:  2.17849e+00 | min: -1.37969e+01 | max:  6.54297e+00
xlstm.layers.0.mlstm.Wf.weight           | mean: -2.20549e+00 | std:  1.13177e+01 | min: -8.35000e+01 | max:  4.75625e+01
xlstm.layers.0.mlstm.Wf.bias             | mean: -7.54735e+00 | std:  2.75228e+01 | min: -1.45000e+02 | max:  7.30000e+01
xlstm.layers.0.mlstm.Wo.weight           | mean:  8.76807e-02 | std:  1.06651e+01 | min: -5.65625e+01 | max:  6.50625e+01
xlstm.layers.0.mlstm.Wo.bias             | mean: -3.23989e+00 | std:  1.38636e+01 | min: -7.81250e+01 | max:  4.02812e+01
classifier.weight                        | mean: -9.07974e-04 | std:  4.35618e+02 | min: -2.04800e+03 | max:  2.73600e+03
classifier.bias                          | mean: -9.25000e-02 | std:  3.47939e+03 | min: -8.48000e+03 | max:  6.94400e+03

[Gradient Statistics for Epoch 2]
xlstm.layers.0.slstm.layer_norm.weight   | mean:  2.33841e-02 | std:  1.61774e+01 | min: -4.25918e+01 | max:  3.80351e+01
xlstm.layers.0.slstm.layer_norm.bias     | mean: -4.70210e-01 | std:  2.06101e+01 | min: -5.73299e+01 | max:  4.41953e+01
xlstm.layers.0.slstm.causal_conv.conv.weight | mean: -6.88646e+00 | std:  6.58672e+01 | min: -1.17562e+02 | max:  1.23875e+02
xlstm.layers.0.slstm.causal_conv.conv.bias | mean:  1.19105e+02 | std:  7.79800e+01 | min:  1.37109e+01 | max:  1.99250e+02
xlstm.layers.0.slstm.Wz.block.weight     | mean:  1.11022e+00 | std:  1.93479e+02 | min: -8.89000e+02 | max:  1.32100e+03
xlstm.layers.0.slstm.Wz.block.bias       | mean:  5.17625e+00 | std:  1.63171e+02 | min: -5.16500e+02 | max:  4.76500e+02
xlstm.layers.0.slstm.Wi.block.weight     | mean:  4.65031e+00 | std:  1.22388e+01 | min: -5.63750e+01 | max:  7.80625e+01
xlstm.layers.0.slstm.Wi.block.bias       | mean: -4.76752e+01 | std:  5.71089e+01 | min: -2.66750e+02 | max:  9.11875e+01
xlstm.layers.0.slstm.Wf.block.weight     | mean:  2.76712e+00 | std:  7.06952e+00 | min: -3.93125e+01 | max:  5.63438e+01
xlstm.layers.0.slstm.Wf.block.bias       | mean: -2.85096e+01 | std:  3.46194e+01 | min: -2.25375e+02 | max:  3.91250e+01
xlstm.layers.0.slstm.Wo.block.weight     | mean: -1.60274e-01 | std:  3.42185e+01 | min: -2.29875e+02 | max:  1.85625e+02
xlstm.layers.0.slstm.Wo.block.bias       | mean: -3.64774e+01 | std:  4.51149e+01 | min: -2.38875e+02 | max:  6.39062e+01
xlstm.layers.0.slstm.Rz.block.weight     | mean: -5.41011e-02 | std:  2.84185e+01 | min: -2.29625e+02 | max:  2.60750e+02
xlstm.layers.0.slstm.Rz.block.bias       | mean:  5.17625e+00 | std:  1.63171e+02 | min: -5.16500e+02 | max:  4.76500e+02
xlstm.layers.0.slstm.Ri.block.weight     | mean: -9.86112e-02 | std:  6.57794e+00 | min: -5.66250e+01 | max:  5.19375e+01
xlstm.layers.0.slstm.Ri.block.bias       | mean: -4.76752e+01 | std:  5.71089e+01 | min: -2.66750e+02 | max:  9.11875e+01
xlstm.layers.0.slstm.Rf.block.weight     | mean: -6.49881e-02 | std:  3.92506e+00 | min: -5.46875e+01 | max:  4.73750e+01
xlstm.layers.0.slstm.Rf.block.bias       | mean: -2.85096e+01 | std:  3.46194e+01 | min: -2.25375e+02 | max:  3.91250e+01
xlstm.layers.0.slstm.Ro.block.weight     | mean: -7.88512e-02 | std:  5.20956e+00 | min: -5.00000e+01 | max:  4.47500e+01
xlstm.layers.0.slstm.Ro.block.bias       | mean: -3.64774e+01 | std:  4.51149e+01 | min: -2.38875e+02 | max:  6.39062e+01
xlstm.layers.0.mlstm.layer_norm.weight   | mean: -8.32609e+00 | std:  1.79880e+01 | min: -7.64763e+01 | max:  4.86922e+01
xlstm.layers.0.mlstm.layer_norm.bias     | mean:  1.51548e+01 | std:  1.76502e+01 | min: -2.84166e+01 | max:  6.33912e+01
xlstm.layers.0.mlstm.causal_conv.conv.weight | mean:  1.51995e+01 | std:  2.07453e+02 | min: -2.71000e+02 | max:  3.66000e+02
xlstm.layers.0.mlstm.causal_conv.conv.bias | mean: -4.75800e+02 | std:  2.19779e+02 | min: -6.91000e+02 | max: -1.55000e+02
xlstm.layers.0.mlstm.Wk.block.weight     | mean:  1.59998e-01 | std:  6.98168e+00 | min: -5.06250e+01 | max:  4.47812e+01
xlstm.layers.0.mlstm.Wk.block.bias       | mean:  4.51798e-01 | std:  1.65997e+01 | min: -6.98750e+01 | max:  7.33750e+01
xlstm.layers.0.mlstm.Wv.block.weight     | mean: -1.52333e-01 | std:  7.78487e+00 | min: -6.88125e+01 | max:  6.71250e+01
xlstm.layers.0.mlstm.Wv.block.bias       | mean:  5.39617e-01 | std:  7.96889e+00 | min: -2.27188e+01 | max:  4.86250e+01
xlstm.layers.0.mlstm.Wi.weight           | mean: -2.14609e-01 | std:  1.02176e+00 | min: -1.50781e+01 | max:  3.81641e+00
xlstm.layers.0.mlstm.Wi.bias             | mean: -6.78260e-01 | std:  2.38141e+00 | min: -2.00469e+01 | max:  3.40820e+00
xlstm.layers.0.mlstm.Wf.weight           | mean: -9.71966e+00 | std:  1.57929e+01 | min: -1.73875e+02 | max:  3.83125e+01
xlstm.layers.0.mlstm.Wf.bias             | mean: -3.08455e+01 | std:  3.71805e+01 | min: -2.39000e+02 | max:  3.75625e+01
xlstm.layers.0.mlstm.Wo.weight           | mean: -1.14355e-01 | std:  1.37334e+01 | min: -1.22000e+02 | max:  9.08750e+01
xlstm.layers.0.mlstm.Wo.bias             | mean: -1.53055e+01 | std:  1.96758e+01 | min: -1.56375e+02 | max:  2.44219e+01
classifier.weight                        | mean: -1.93634e-03 | std:  4.92055e+02 | min: -3.06600e+03 | max:  2.50600e+03
classifier.bias                          | mean:  1.00000e-01 | std:  3.30656e+03 | min: -6.26800e+03 | max:  7.02000e+03

[Gradient Statistics for Epoch 3]
xlstm.layers.0.slstm.layer_norm.weight   | mean:  5.05450e+00 | std:  1.72103e+01 | min: -3.44253e+01 | max:  5.21089e+01
xlstm.layers.0.slstm.layer_norm.bias     | mean:  1.97998e-01 | std:  2.21383e+01 | min: -5.18537e+01 | max:  5.56838e+01
xlstm.layers.0.slstm.causal_conv.conv.weight | mean: -1.84646e+01 | std:  1.33728e+02 | min: -2.01125e+02 | max:  2.62000e+02
