Classification Report:
              precision    recall  f1-score     support
pop            0.431818  0.570000  0.491379  100.000000
classical      0.333333  0.131313  0.188406   99.000000
jazz           0.503876  0.656566  0.570175   99.000000
hiphop         0.500000  0.560000  0.528302  100.000000
reggae         0.752212  0.850000  0.798122  100.000000
disco          0.480769  0.257732  0.335570   97.000000
metal          0.602941  0.820000  0.694915  100.000000
country        0.489796  0.489796  0.489796   98.000000
blues          0.875000  0.857143  0.865979   98.000000
rock           0.421687  0.353535  0.384615   99.000000
accuracy       0.555556  0.555556  0.555556    0.555556
macro avg      0.539143  0.554608  0.534726  990.000000
weighted avg   0.539104  0.555556  0.535217  990.000000
