
[Gradient Statistics for Epoch 1]
xlstm.layers.0.slstm.Wf.block.weight     | mean: -5.85523e+00 | std:  2.76002e+01 | min: -2.57000e+02 | max:  1.57125e+02
xlstm.layers.0.slstm.Wf.block.bias       | mean: -4.89929e+01 | std:  8.55137e+01 | min: -3.97000e+02 | max:  1.72125e+02
xlstm.layers.0.slstm.Wo.block.weight     | mean: -2.13048e+00 | std:  9.71140e+01 | min: -4.96500e+02 | max:  4.90750e+02
xlstm.layers.0.slstm.Wo.block.bias       | mean: -6.51280e+01 | std:  1.17723e+02 | min: -5.31500e+02 | max:  2.15125e+02
xlstm.layers.0.slstm.Rz.block.weight     | mean: -1.52599e-01 | std:  7.22072e+01 | min: -4.45500e+02 | max:  4.80250e+02
xlstm.layers.0.slstm.Rz.block.bias       | mean:  1.53207e+01 | std:  4.86888e+02 | min: -1.28900e+03 | max:  1.18700e+03
xlstm.layers.0.slstm.Ri.block.weight     | mean:  3.92829e-01 | std:  1.84934e+01 | min: -1.09875e+02 | max:  1.28250e+02
xlstm.layers.0.slstm.Ri.block.bias       | mean: -8.01782e+01 | std:  1.50161e+02 | min: -6.78000e+02 | max:  2.90250e+02
xlstm.layers.0.slstm.Rf.block.weight     | mean:  2.49155e-01 | std:  1.06225e+01 | min: -7.63125e+01 | max:  9.30625e+01
xlstm.layers.0.slstm.Rf.block.bias       | mean: -4.89929e+01 | std:  8.55137e+01 | min: -3.97000e+02 | max:  1.72125e+02
xlstm.layers.0.slstm.Ro.block.weight     | mean:  3.41378e-01 | std:  1.49336e+01 | min: -1.12688e+02 | max:  1.36125e+02
xlstm.layers.0.slstm.Ro.block.bias       | mean: -6.51280e+01 | std:  1.17723e+02 | min: -5.31500e+02 | max:  2.15125e+02
xlstm.layers.0.mlstm.layer_norm.weight   | mean: -1.97680e+01 | std:  4.51812e+01 | min: -1.92704e+02 | max:  8.08703e+01
xlstm.layers.0.mlstm.layer_norm.bias     | mean:  1.63257e+01 | std:  4.62061e+01 | min: -1.52814e+02 | max:  1.20502e+02
xlstm.layers.0.mlstm.causal_conv.conv.weight | mean:  4.15993e+01 | std:  4.62866e+02 | min: -8.61500e+02 | max:  1.10600e+03
xlstm.layers.0.mlstm.causal_conv.conv.bias | mean: -9.06071e+02 | std:  3.23497e+02 | min: -1.56500e+03 | max: -5.43000e+02
xlstm.layers.0.mlstm.Wk.block.weight     | mean:  1.06574e+00 | std:  1.87039e+01 | min: -1.13500e+02 | max:  1.39625e+02
xlstm.layers.0.mlstm.Wk.block.bias       | mean:  5.54658e+00 | std:  5.49037e+01 | min: -1.76000e+02 | max:  1.88625e+02
xlstm.layers.0.mlstm.Wv.block.weight     | mean:  1.69637e-01 | std:  2.10771e+01 | min: -1.62250e+02 | max:  1.33875e+02
xlstm.layers.0.mlstm.Wv.block.bias       | mean:  2.23042e+00 | std:  2.50650e+01 | min: -8.10625e+01 | max:  8.56250e+01
xlstm.layers.0.mlstm.Wi.weight           | mean: -3.99754e-01 | std:  2.44139e+00 | min: -2.69375e+01 | max:  1.61719e+01
xlstm.layers.0.mlstm.Wi.bias             | mean: -2.03135e+00 | std:  6.54715e+00 | min: -3.58125e+01 | max:  2.03906e+01
xlstm.layers.0.mlstm.Wf.weight           | mean: -1.03941e+01 | std:  3.30718e+01 | min: -2.73000e+02 | max:  1.35875e+02
xlstm.layers.0.mlstm.Wf.bias             | mean: -5.31332e+01 | std:  9.53326e+01 | min: -4.55500e+02 | max:  1.84125e+02
xlstm.layers.0.mlstm.Wo.weight           | mean: -9.77335e-01 | std:  3.92455e+01 | min: -2.40375e+02 | max:  2.21750e+02
xlstm.layers.0.mlstm.Wo.bias             | mean: -2.76678e+01 | std:  4.86030e+01 | min: -2.49000e+02 | max:  8.87500e+01
classifier.weight                        | mean:  1.29104e-03 | std:  6.06841e+02 | min: -3.26600e+03 | max:  3.82800e+03
classifier.bias                          | mean: -3.21429e-02 | std:  3.76516e+03 | min: -1.14080e+04 | max:  6.74400e+03

[Gradient Statistics for Epoch 3]
xlstm.layers.0.slstm.layer_norm.weight   | mean: -8.38417e+01 | std:  1.10426e+02 | min: -4.65985e+02 | max:  2.22771e+02
xlstm.layers.0.slstm.layer_norm.bias     | mean:  7.25482e+01 | std:  1.19706e+02 | min: -2.35844e+02 | max:  4.49254e+02
xlstm.layers.0.slstm.causal_conv.conv.weight | mean:  4.53131e+02 | std:  1.51400e+03 | min: -1.95100e+03 | max:  3.32200e+03
xlstm.layers.0.slstm.causal_conv.conv.bias | mean: -2.03300e+03 | std:  9.89801e+02 | min: -3.60400e+03 | max: -9.51000e+02
xlstm.layers.0.slstm.Wz.block.weight     | mean:  6.30344e+00 | std:  4.90326e+02 | min: -2.53600e+03 | max:  3.25000e+03
xlstm.layers.0.slstm.Wz.block.bias       | mean: -2.59397e+01 | std:  5.81031e+02 | min: -1.60300e+03 | max:  1.41500e+03
xlstm.layers.0.slstm.Wi.block.weight     | mean: -1.91221e+01 | std:  6.63571e+01 | min: -3.94500e+02 | max:  2.64000e+02
xlstm.layers.0.slstm.Wi.block.bias       | mean: -1.22325e+02 | std:  1.66455e+02 | min: -6.33000e+02 | max:  3.28000e+02
xlstm.layers.0.slstm.Wf.block.weight     | mean: -1.40057e+01 | std:  4.41689e+01 | min: -3.58750e+02 | max:  2.33625e+02
xlstm.layers.0.slstm.Wf.block.bias       | mean: -8.92898e+01 | std:  1.17091e+02 | min: -5.41000e+02 | max:  2.84500e+02
xlstm.layers.0.slstm.Wo.block.weight     | mean:  3.67617e+00 | std:  1.14961e+02 | min: -7.95000e+02 | max:  6.58000e+02
xlstm.layers.0.slstm.Wo.block.bias       | mean: -1.05645e+02 | std:  1.40025e+02 | min: -5.76500e+02 | max:  3.25250e+02
xlstm.layers.0.slstm.Rz.block.weight     | mean: -1.05686e-02 | std:  9.35050e+01 | min: -5.09750e+02 | max:  6.92500e+02
xlstm.layers.0.slstm.Rz.block.bias       | mean: -2.59397e+01 | std:  5.81031e+02 | min: -1.60300e+03 | max:  1.41500e+03
xlstm.layers.0.slstm.Ri.block.weight     | mean:  5.91620e-02 | std:  2.66609e+01 | min: -1.45750e+02 | max:  1.68625e+02
xlstm.layers.0.slstm.Ri.block.bias       | mean: -1.22325e+02 | std:  1.66455e+02 | min: -6.33000e+02 | max:  3.28000e+02
xlstm.layers.0.slstm.Rf.block.weight     | mean:  3.00988e-02 | std:  1.78767e+01 | min: -1.26750e+02 | max:  1.33625e+02
xlstm.layers.0.slstm.Rf.block.bias       | mean: -8.92898e+01 | std:  1.17091e+02 | min: -5.41000e+02 | max:  2.84500e+02
xlstm.layers.0.slstm.Ro.block.weight     | mean:  3.19652e-02 | std:  2.21573e+01 | min: -1.71250e+02 | max:  1.64000e+02
xlstm.layers.0.slstm.Ro.block.bias       | mean: -1.05645e+02 | std:  1.40025e+02 | min: -5.76500e+02 | max:  3.25250e+02
xlstm.layers.0.mlstm.layer_norm.weight   | mean: -5.42709e+01 | std:  7.99831e+01 | min: -4.42251e+02 | max:  8.95462e+01
xlstm.layers.0.mlstm.layer_norm.bias     | mean:  4.89065e+01 | std:  6.71575e+01 | min: -6.70593e+01 | max:  2.83660e+02
xlstm.layers.0.mlstm.causal_conv.conv.weight | mean:  2.06839e+02 | std:  9.26668e+02 | min: -1.25400e+03 | max:  1.75300e+03
xlstm.layers.0.mlstm.causal_conv.conv.bias | mean: -2.54786e+03 | std:  1.02090e+03 | min: -4.51200e+03 | max: -1.25100e+03
xlstm.layers.0.mlstm.Wk.block.weight     | mean:  6.68817e-01 | std:  2.23946e+01 | min: -2.51750e+02 | max:  1.33250e+02
xlstm.layers.0.mlstm.Wk.block.bias       | mean:  3.16557e+00 | std:  5.72564e+01 | min: -2.76500e+02 | max:  1.63750e+02
xlstm.layers.0.mlstm.Wv.block.weight     | mean:  3.91867e-01 | std:  2.44667e+01 | min: -1.94250e+02 | max:  1.85250e+02
xlstm.layers.0.mlstm.Wv.block.bias       | mean:  6.22915e-01 | std:  2.67390e+01 | min: -8.54375e+01 | max:  8.47500e+01
xlstm.layers.0.mlstm.Wi.weight           | mean: -6.35473e-01 | std:  3.07477e+00 | min: -3.85000e+01 | max:  1.70469e+01
xlstm.layers.0.mlstm.Wi.bias             | mean: -2.70847e+00 | std:  7.44057e+00 | min: -4.97500e+01 | max:  1.47891e+01
xlstm.layers.0.mlstm.Wf.weight           | mean: -2.48004e+01 | std:  5.26654e+01 | min: -4.44500e+02 | max:  2.34500e+02
xlstm.layers.0.mlstm.Wf.bias             | mean: -1.04531e+02 | std:  1.36101e+02 | min: -6.42500e+02 | max:  2.95750e+02
xlstm.layers.0.mlstm.Wo.weight           | mean:  1.64774e+00 | std:  5.41764e+01 | min: -3.38250e+02 | max:  3.91500e+02
xlstm.layers.0.mlstm.Wo.bias             | mean: -5.26516e+01 | std:  6.91407e+01 | min: -3.84500e+02 | max:  1.66125e+02
classifier.weight                        | mean: -2.83272e-03 | std:  7.36135e+02 | min: -4.03000e+03 | max:  4.27200e+03
classifier.bias                          | mean:  1.38393e-01 | std:  4.18468e+03 | min: -1.00160e+04 | max:  6.62000e+03

[Gradient Statistics for Epoch 4]
xlstm.layers.0.slstm.layer_norm.weight   | mean: -8.85368e+01 | std:  1.46370e+02 | min: -4.96964e+02 | max:  2.93086e+02
xlstm.layers.0.slstm.layer_norm.bias     | mean:  8.92970e+01 | std:  1.34655e+02 | min: -2.36111e+02 | max:  4.60205e+02
xlstm.layers.0.slstm.causal_conv.conv.weight | mean:  5.06274e+02 | std:  1.37150e+03 | min: -1.80600e+03 | max:  2.61400e+03
xlstm.layers.0.slstm.causal_conv.conv.bias | mean: -2.34171e+03 | std:  5.38961e+02 | min: -3.14800e+03 | max: -1.66400e+03
xlstm.layers.0.slstm.Wz.block.weight     | mean: -1.54313e+01 | std:  5.32280e+02 | min: -3.06600e+03 | max:  3.43800e+03
xlstm.layers.0.slstm.Wz.block.bias       | mean: -6.06725e+01 | std:  6.23303e+02 | min: -2.22600e+03 | max:  2.26800e+03
xlstm.layers.0.slstm.Wi.block.weight     | mean: -2.07435e+01 | std:  8.22649e+01 | min: -5.64000e+02 | max:  3.58250e+02
xlstm.layers.0.slstm.Wi.block.bias       | mean: -9.60325e+01 | std:  1.54220e+02 | min: -6.48000e+02 | max:  2.77000e+02
