Classification Report:
              precision    recall  f1-score     support
pop            0.636364  0.140000  0.229508  100.000000
classical      0.000000  0.000000  0.000000   99.000000
jazz           0.142857  0.010101  0.018868   99.000000
hiphop         0.230769  0.030000  0.053097  100.000000
reggae         0.323232  0.960000  0.483627  100.000000
disco          0.333333  0.010309  0.020000   97.000000
metal          0.254011  0.950000  0.400844  100.000000
country        0.714286  0.051020  0.095238   98.000000
blues          0.353612  0.948980  0.515235   98.000000
rock           0.000000  0.000000  0.000000   99.000000
accuracy       0.311111  0.311111  0.311111    0.311111
macro avg      0.298846  0.310041  0.181642  990.000000
weighted avg   0.298553  0.311111  0.182164  990.000000
