
[Gradient Statistics for Epoch 1]
xlstm.layers.0.slstm.Wf.block.weight     | mean:  1.40160e+00 | std:  2.17126e+01 | min: -1.99875e+02 | max:  1.41375e+02
xlstm.layers.0.slstm.Wf.block.bias       | mean: -4.65699e+01 | std:  8.79643e+01 | min: -4.85250e+02 | max:  1.62750e+02
xlstm.layers.0.slstm.Wo.block.weight     | mean:  2.08875e+00 | std:  8.81901e+01 | min: -5.15500e+02 | max:  4.17500e+02
xlstm.layers.0.slstm.Wo.block.bias       | mean: -5.89792e+01 | std:  1.18766e+02 | min: -5.68000e+02 | max:  2.33000e+02
xlstm.layers.0.slstm.Rz.block.weight     | mean: -1.53087e-01 | std:  6.31458e+01 | min: -4.25500e+02 | max:  3.94750e+02
xlstm.layers.0.slstm.Rz.block.bias       | mean:  1.83565e+01 | std:  4.66078e+02 | min: -1.42000e+03 | max:  1.51500e+03
xlstm.layers.0.slstm.Ri.block.weight     | mean:  1.37790e-02 | std:  1.68684e+01 | min: -1.35000e+02 | max:  1.31875e+02
xlstm.layers.0.slstm.Ri.block.bias       | mean: -7.85602e+01 | std:  1.51851e+02 | min: -6.89500e+02 | max:  3.24500e+02
xlstm.layers.0.slstm.Rf.block.weight     | mean: -1.02340e-02 | std:  9.96762e+00 | min: -9.85000e+01 | max:  9.35000e+01
xlstm.layers.0.slstm.Rf.block.bias       | mean: -4.65699e+01 | std:  8.79643e+01 | min: -4.85250e+02 | max:  1.62750e+02
xlstm.layers.0.slstm.Ro.block.weight     | mean:  1.67370e-02 | std:  1.30257e+01 | min: -1.09688e+02 | max:  1.11375e+02
xlstm.layers.0.slstm.Ro.block.bias       | mean: -5.89792e+01 | std:  1.18766e+02 | min: -5.68000e+02 | max:  2.33000e+02
xlstm.layers.0.mlstm.layer_norm.weight   | mean: -3.04329e-01 | std:  1.17854e+01 | min: -4.09562e+01 | max:  3.34707e+01
xlstm.layers.0.mlstm.layer_norm.bias     | mean: -3.24360e+00 | std:  1.43186e+01 | min: -5.21979e+01 | max:  3.21946e+01
xlstm.layers.0.mlstm.causal_conv.conv.weight | mean: -1.76496e+01 | std:  2.33254e+02 | min: -5.27000e+02 | max:  4.35750e+02
xlstm.layers.0.mlstm.causal_conv.conv.bias | mean: -4.24875e+02 | std:  2.69067e+02 | min: -8.84500e+02 | max: -1.43000e+02
xlstm.layers.0.mlstm.Wk.block.weight     | mean: -1.91401e-01 | std:  7.28393e+00 | min: -5.06562e+01 | max:  3.22188e+01
xlstm.layers.0.mlstm.Wk.block.bias       | mean: -9.64811e-01 | std:  3.49515e+01 | min: -1.15062e+02 | max:  1.16000e+02
xlstm.layers.0.mlstm.Wv.block.weight     | mean: -1.33392e-01 | std:  8.25268e+00 | min: -5.11875e+01 | max:  5.90000e+01
xlstm.layers.0.mlstm.Wv.block.bias       | mean:  2.47977e-01 | std:  8.99515e+00 | min: -3.74062e+01 | max:  3.22812e+01
xlstm.layers.0.mlstm.Wi.weight           | mean: -2.92785e-02 | std:  4.28696e-01 | min: -3.15039e+00 | max:  2.95117e+00
xlstm.layers.0.mlstm.Wi.bias             | mean: -1.55508e-01 | std:  2.03468e+00 | min: -1.11406e+01 | max:  7.37500e+00
xlstm.layers.0.mlstm.Wf.weight           | mean: -9.90066e+00 | std:  2.04777e+01 | min: -1.54750e+02 | max:  6.15312e+01
xlstm.layers.0.mlstm.Wf.bias             | mean: -5.33545e+01 | std:  9.94250e+01 | min: -5.30500e+02 | max:  1.68875e+02
xlstm.layers.0.mlstm.Wo.weight           | mean:  6.08261e-01 | std:  3.50119e+01 | min: -2.16750e+02 | max:  2.54125e+02
xlstm.layers.0.mlstm.Wo.bias             | mean: -2.39361e+01 | std:  4.71972e+01 | min: -2.57000e+02 | max:  1.02312e+02
classifier.weight                        | mean:  5.66537e-03 | std:  5.79933e+02 | min: -3.72800e+03 | max:  3.56000e+03
classifier.bias                          | mean: -2.85714e-02 | std:  3.97921e+03 | min: -1.00240e+04 | max:  7.65200e+03

[Gradient Statistics for Epoch 3]
xlstm.layers.0.slstm.layer_norm.weight   | mean: -3.22068e+01 | std:  7.98351e+01 | min: -2.30164e+02 | max:  1.73687e+02
xlstm.layers.0.slstm.layer_norm.bias     | mean: -2.58107e+00 | std:  7.96728e+01 | min: -3.08106e+02 | max:  2.34671e+02
xlstm.layers.0.slstm.causal_conv.conv.weight | mean:  1.61622e+02 | std:  6.81486e+02 | min: -1.41000e+03 | max:  1.19000e+03
xlstm.layers.0.slstm.causal_conv.conv.bias | mean: -1.54458e+02 | std:  4.21287e+02 | min: -8.25000e+02 | max:  4.53250e+02
xlstm.layers.0.slstm.Wz.block.weight     | mean:  3.56443e+00 | std:  4.31987e+02 | min: -2.21000e+03 | max:  1.81500e+03
xlstm.layers.0.slstm.Wz.block.bias       | mean:  1.42246e+01 | std:  5.19731e+02 | min: -1.68000e+03 | max:  2.10800e+03
xlstm.layers.0.slstm.Wi.block.weight     | mean:  1.76810e+00 | std:  4.06034e+01 | min: -1.89625e+02 | max:  2.23000e+02
xlstm.layers.0.slstm.Wi.block.bias       | mean: -8.08725e+01 | std:  1.52809e+02 | min: -6.69000e+02 | max:  4.17750e+02
xlstm.layers.0.slstm.Wf.block.weight     | mean:  1.10564e+00 | std:  2.56584e+01 | min: -1.66000e+02 | max:  1.64375e+02
xlstm.layers.0.slstm.Wf.block.bias       | mean: -5.82757e+01 | std:  9.53996e+01 | min: -4.81000e+02 | max:  2.74250e+02
xlstm.layers.0.slstm.Wo.block.weight     | mean:  4.74995e-01 | std:  9.27727e+01 | min: -4.48000e+02 | max:  6.87000e+02
xlstm.layers.0.slstm.Wo.block.bias       | mean: -6.47597e+01 | std:  1.19327e+02 | min: -5.04250e+02 | max:  2.74000e+02
xlstm.layers.0.slstm.Rz.block.weight     | mean: -5.77632e-02 | std:  7.44417e+01 | min: -4.83250e+02 | max:  4.08750e+02
xlstm.layers.0.slstm.Rz.block.bias       | mean:  1.42246e+01 | std:  5.19731e+02 | min: -1.68000e+03 | max:  2.10800e+03
xlstm.layers.0.slstm.Ri.block.weight     | mean:  2.95550e-01 | std:  2.09333e+01 | min: -1.45000e+02 | max:  1.21562e+02
xlstm.layers.0.slstm.Ri.block.bias       | mean: -8.08725e+01 | std:  1.52809e+02 | min: -6.69000e+02 | max:  4.17750e+02
xlstm.layers.0.slstm.Rf.block.weight     | mean:  1.73761e-01 | std:  1.36560e+01 | min: -1.02375e+02 | max:  1.05875e+02
xlstm.layers.0.slstm.Rf.block.bias       | mean: -5.82757e+01 | std:  9.53996e+01 | min: -4.81000e+02 | max:  2.74250e+02
xlstm.layers.0.slstm.Ro.block.weight     | mean:  3.31585e-01 | std:  1.67803e+01 | min: -1.10812e+02 | max:  1.09938e+02
xlstm.layers.0.slstm.Ro.block.bias       | mean: -6.47597e+01 | std:  1.19327e+02 | min: -5.04250e+02 | max:  2.74000e+02
xlstm.layers.0.mlstm.layer_norm.weight   | mean: -5.28046e+00 | std:  1.41099e+01 | min: -4.57431e+01 | max:  1.82726e+01
xlstm.layers.0.mlstm.layer_norm.bias     | mean: -1.16741e+01 | std:  1.85481e+01 | min: -7.11480e+01 | max:  3.10466e+01
xlstm.layers.0.mlstm.causal_conv.conv.weight | mean: -4.44643e+01 | std:  3.46182e+02 | min: -5.38000e+02 | max:  6.01000e+02
xlstm.layers.0.mlstm.causal_conv.conv.bias | mean: -1.56257e+03 | std:  8.17247e+02 | min: -2.73600e+03 | max: -6.50000e+02
xlstm.layers.0.mlstm.Wk.block.weight     | mean: -1.39016e-01 | std:  7.52169e+00 | min: -6.14688e+01 | max:  3.73750e+01
xlstm.layers.0.mlstm.Wk.block.bias       | mean: -7.46566e-01 | std:  3.06416e+01 | min: -1.43500e+02 | max:  8.83750e+01
xlstm.layers.0.mlstm.Wv.block.weight     | mean: -2.63487e-02 | std:  9.41040e+00 | min: -6.34062e+01 | max:  5.91875e+01
xlstm.layers.0.mlstm.Wv.block.bias       | mean:  1.39375e-01 | std:  1.06053e+01 | min: -3.61250e+01 | max:  4.87812e+01
xlstm.layers.0.mlstm.Wi.weight           | mean: -9.30492e-02 | std:  5.31384e-01 | min: -4.99219e+00 | max:  3.62500e+00
xlstm.layers.0.mlstm.Wi.bias             | mean: -4.28837e-01 | std:  2.10053e+00 | min: -1.13359e+01 | max:  8.31250e+00
xlstm.layers.0.mlstm.Wf.weight           | mean: -1.49834e+01 | std:  2.67953e+01 | min: -1.43625e+02 | max:  1.08188e+02
xlstm.layers.0.mlstm.Wf.bias             | mean: -6.78637e+01 | std:  1.07982e+02 | min: -4.60750e+02 | max:  3.16500e+02
xlstm.layers.0.mlstm.Wo.weight           | mean:  6.93344e-02 | std:  4.04697e+01 | min: -2.05000e+02 | max:  3.02000e+02
xlstm.layers.0.mlstm.Wo.bias             | mean: -3.06363e+01 | std:  5.26942e+01 | min: -2.70500e+02 | max:  1.15500e+02
classifier.weight                        | mean: -2.60424e-03 | std:  6.49694e+02 | min: -3.07800e+03 | max:  3.28600e+03
classifier.bias                          | mean:  1.32143e-01 | std:  3.96469e+03 | min: -1.28720e+04 | max:  6.58800e+03

[Gradient Statistics for Epoch 4]
xlstm.layers.0.slstm.layer_norm.weight   | mean: -3.52523e+01 | std:  8.96344e+01 | min: -3.15019e+02 | max:  1.24937e+02
xlstm.layers.0.slstm.layer_norm.bias     | mean: -2.37795e+00 | std:  9.19215e+01 | min: -3.21442e+02 | max:  2.48315e+02
xlstm.layers.0.slstm.causal_conv.conv.weight | mean: -1.86429e+01 | std:  8.00993e+02 | min: -1.35200e+03 | max:  1.53700e+03
xlstm.layers.0.slstm.causal_conv.conv.bias | mean: -9.91613e+01 | std:  3.88415e+02 | min: -6.47000e+02 | max:  5.08250e+02
xlstm.layers.0.slstm.Wz.block.weight     | mean: -4.11380e+00 | std:  4.26172e+02 | min: -2.41200e+03 | max:  2.11000e+03
xlstm.layers.0.slstm.Wz.block.bias       | mean: -2.99941e+01 | std:  5.72469e+02 | min: -2.79400e+03 | max:  1.63200e+03
xlstm.layers.0.slstm.Wi.block.weight     | mean:  1.64578e+00 | std:  4.47998e+01 | min: -2.52375e+02 | max:  2.07375e+02
xlstm.layers.0.slstm.Wi.block.bias       | mean: -6.77884e+01 | std:  1.59623e+02 | min: -6.87000e+02 | max:  4.42000e+02
xlstm.layers.0.slstm.Wf.block.weight     | mean:  1.03383e+00 | std:  3.20898e+01 | min: -2.12000e+02 | max:  1.57375e+02
xlstm.layers.0.slstm.Wf.block.bias       | mean: -5.34292e+01 | std:  1.14861e+02 | min: -4.61750e+02 | max:  2.94500e+02
xlstm.layers.0.slstm.Wo.block.weight     | mean:  1.43974e+00 | std:  1.01307e+02 | min: -5.69000e+02 | max:  5.67500e+02
xlstm.layers.0.slstm.Wo.block.bias       | mean: -6.12071e+01 | std:  1.30029e+02 | min: -4.94000e+02 | max:  3.37750e+02
xlstm.layers.0.slstm.Rz.block.weight     | mean: -8.79464e-02 | std:  9.54727e+01 | min: -9.34000e+02 | max:  9.14500e+02
xlstm.layers.0.slstm.Rz.block.bias       | mean: -2.99941e+01 | std:  5.72469e+02 | min: -2.79400e+03 | max:  1.63200e+03
xlstm.layers.0.slstm.Ri.block.weight     | mean:  4.88979e-01 | std:  2.89317e+01 | min: -1.67125e+02 | max:  1.65750e+02
xlstm.layers.0.slstm.Ri.block.bias       | mean: -6.77884e+01 | std:  1.59623e+02 | min: -6.87000e+02 | max:  4.42000e+02
xlstm.layers.0.slstm.Rf.block.weight     | mean:  3.45526e-01 | std:  2.16389e+01 | min: -1.46125e+02 | max:  1.48875e+02
xlstm.layers.0.slstm.Rf.block.bias       | mean: -5.34292e+01 | std:  1.14861e+02 | min: -4.61750e+02 | max:  2.94500e+02
xlstm.layers.0.slstm.Ro.block.weight     | mean:  3.67146e-01 | std:  2.38389e+01 | min: -1.25875e+02 | max:  1.21875e+02
xlstm.layers.0.slstm.Ro.block.bias       | mean: -6.12071e+01 | std:  1.30029e+02 | min: -4.94000e+02 | max:  3.37750e+02
xlstm.layers.0.mlstm.layer_norm.weight   | mean: -1.02523e+01 | std:  2.62638e+01 | min: -8.74251e+01 | max:  5.77671e+01
xlstm.layers.0.mlstm.layer_norm.bias     | mean: -2.01087e+01 | std:  3.20266e+01 | min: -1.18310e+02 | max:  5.15113e+01
xlstm.layers.0.mlstm.causal_conv.conv.weight | mean: -1.85145e+02 | std:  5.44651e+02 | min: -1.26700e+03 | max:  8.56000e+02
xlstm.layers.0.mlstm.causal_conv.conv.bias | mean: -2.69514e+03 | std:  2.23704e+03 | min: -6.12000e+03 | max:  5.74000e+02
xlstm.layers.0.mlstm.Wk.block.weight     | mean:  5.46815e-02 | std:  8.53774e+00 | min: -8.45000e+01 | max:  4.39062e+01
xlstm.layers.0.mlstm.Wk.block.bias       | mean:  2.09722e-01 | std:  2.84093e+01 | min: -1.56375e+02 | max:  8.97500e+01
xlstm.layers.0.mlstm.Wv.block.weight     | mean:  3.88304e-03 | std:  1.13359e+01 | min: -7.07500e+01 | max:  1.04750e+02
xlstm.layers.0.mlstm.Wv.block.bias       | mean:  7.49537e-01 | std:  1.24613e+01 | min: -5.30938e+01 | max:  8.57500e+01
xlstm.layers.0.mlstm.Wi.weight           | mean: -1.74003e-01 | std:  8.30579e-01 | min: -1.21484e+01 | max:  6.44922e+00
xlstm.layers.0.mlstm.Wi.bias             | mean: -6.63732e-01 | std:  2.77490e+00 | min: -2.02344e+01 | max:  1.45078e+01
xlstm.layers.0.mlstm.Wf.weight           | mean: -1.84205e+01 | std:  4.08605e+01 | min: -2.45250e+02 | max:  1.54500e+02
xlstm.layers.0.mlstm.Wf.bias             | mean: -7.10757e+01 | std:  1.36451e+02 | min: -5.47500e+02 | max:  2.97250e+02
xlstm.layers.0.mlstm.Wo.weight           | mean:  5.97569e-01 | std:  5.29039e+01 | min: -2.91750e+02 | max:  4.39500e+02
xlstm.layers.0.mlstm.Wo.bias             | mean: -3.34734e+01 | std:  6.86426e+01 | min: -2.71500e+02 | max:  1.83000e+02
classifier.weight                        | mean:  3.82287e-03 | std:  7.08922e+02 | min: -3.76000e+03 | max:  4.11600e+03
classifier.bias                          | mean: -2.66518e-01 | std:  3.64714e+03 | min: -1.40240e+04 | max:  6.40400e+03

[Gradient Statistics for Epoch 5]
xlstm.layers.0.slstm.layer_norm.weight   | mean: -2.04205e+01 | std:  1.45620e+02 | min: -5.84801e+02 | max:  4.64448e+02
xlstm.layers.0.slstm.layer_norm.bias     | mean: -7.49099e-01 | std:  1.28358e+02 | min: -4.09742e+02 | max:  3.29183e+02
xlstm.layers.0.slstm.causal_conv.conv.weight | mean:  3.20238e+00 | std:  8.60668e+02 | min: -1.48600e+03 | max:  1.42800e+03
xlstm.layers.0.slstm.causal_conv.conv.bias | mean: -1.51000e+02 | std:  9.51107e+02 | min: -1.50600e+03 | max:  1.15100e+03
xlstm.layers.0.slstm.Wz.block.weight     | mean:  8.10155e+00 | std:  5.96736e+02 | min: -4.20000e+03 | max:  5.14800e+03
xlstm.layers.0.slstm.Wz.block.bias       | mean: -6.48066e+00 | std:  8.13337e+02 | min: -2.97600e+03 | max:  2.72800e+03
xlstm.layers.0.slstm.Wi.block.weight     | mean: -7.98439e-02 | std:  5.45857e+01 | min: -2.58500e+02 | max:  3.18000e+02
xlstm.layers.0.slstm.Wi.block.bias       | mean: -2.60178e+01 | std:  1.73238e+02 | min: -4.70250e+02 | max:  7.04000e+02
xlstm.layers.0.slstm.Wf.block.weight     | mean: -5.80222e-01 | std:  4.39514e+01 | min: -2.70500e+02 | max:  3.04250e+02
xlstm.layers.0.slstm.Wf.block.bias       | mean: -1.99460e+01 | std:  1.38479e+02 | min: -4.03000e+02 | max:  6.66000e+02
xlstm.layers.0.slstm.Wo.block.weight     | mean: -2.74737e+00 | std:  1.23575e+02 | min: -7.29000e+02 | max:  6.67000e+02
xlstm.layers.0.slstm.Wo.block.bias       | mean: -2.58945e+01 | std:  1.42909e+02 | min: -4.35000e+02 | max:  5.37500e+02
xlstm.layers.0.slstm.Rz.block.weight     | mean: -1.05128e+00 | std:  1.42978e+02 | min: -1.65700e+03 | max:  1.74600e+03
xlstm.layers.0.slstm.Rz.block.bias       | mean: -6.48066e+00 | std:  8.13337e+02 | min: -2.97600e+03 | max:  2.72800e+03
xlstm.layers.0.slstm.Ri.block.weight     | mean:  4.21494e-01 | std:  3.80742e+01 | min: -2.37500e+02 | max:  2.70000e+02
xlstm.layers.0.slstm.Ri.block.bias       | mean: -2.60178e+01 | std:  1.73238e+02 | min: -4.70250e+02 | max:  7.04000e+02
xlstm.layers.0.slstm.Rf.block.weight     | mean:  2.61858e-01 | std:  3.14988e+01 | min: -2.52125e+02 | max:  2.74000e+02
xlstm.layers.0.slstm.Rf.block.bias       | mean: -1.99460e+01 | std:  1.38479e+02 | min: -4.03000e+02 | max:  6.66000e+02
xlstm.layers.0.slstm.Ro.block.weight     | mean:  4.40904e-01 | std:  3.18836e+01 | min: -2.26125e+02 | max:  2.30250e+02
