Classification Report:
              precision    recall  f1-score     support
pop            0.563218  0.490000  0.524064  100.000000
classical      0.352273  0.313131  0.331551   99.000000
jazz           0.607843  0.626263  0.616915   99.000000
hiphop         0.545455  0.540000  0.542714  100.000000
reggae         0.775701  0.830000  0.801932  100.000000
disco          0.548387  0.350515  0.427673   97.000000
metal          0.754902  0.770000  0.762376  100.000000
country        0.544444  0.500000  0.521277   98.000000
blues          0.830357  0.948980  0.885714   98.000000
rock           0.354610  0.505051  0.416667   99.000000
accuracy       0.587879  0.587879  0.587879    0.587879
macro avg      0.587719  0.587394  0.583088  990.000000
weighted avg   0.587888  0.587879  0.583461  990.000000
