
[Gradient Statistics for Epoch 1]
xlstm.layers.0.slstm.layer_norm.weight   | mean: -2.22985e+00 | std:  1.46462e+01 | min: -4.34195e+01 | max:  5.82963e+01
xlstm.layers.0.slstm.layer_norm.bias     | mean:  3.12709e-01 | std:  1.56042e+01 | min: -3.71335e+01 | max:  5.81793e+01
xlstm.layers.0.slstm.causal_conv.conv.weight | mean:  2.57091e+01 | std:  1.97941e+02 | min: -3.84000e+02 | max:  3.40750e+02
xlstm.layers.0.slstm.causal_conv.conv.bias | mean: -9.54766e+01 | std:  1.99290e+02 | min: -3.71000e+02 | max:  1.90250e+02
xlstm.layers.0.slstm.Wz.block.weight     | mean:  4.49742e+00 | std:  4.64273e+02 | min: -2.12800e+03 | max:  2.42800e+03
xlstm.layers.0.slstm.Wz.block.bias       | mean: -1.38860e+01 | std:  4.53192e+02 | min: -1.10000e+03 | max:  1.19300e+03
xlstm.layers.0.slstm.Wi.block.weight     | mean:  2.73615e+00 | std:  2.81119e+01 | min: -1.14188e+02 | max:  1.04938e+02
xlstm.layers.0.slstm.Wi.block.bias       | mean: -1.63414e+01 | std:  1.50474e+02 | min: -4.90500e+02 | max:  5.78500e+02
xlstm.layers.0.slstm.Wf.block.weight     | mean:  1.97272e+00 | std:  1.44344e+01 | min: -5.41875e+01 | max:  5.83438e+01
xlstm.layers.0.slstm.Wf.block.bias       | mean: -1.17237e+01 | std:  7.70146e+01 | min: -2.25500e+02 | max:  2.60000e+02
xlstm.layers.0.slstm.Wo.block.weight     | mean: -1.84766e+00 | std:  8.78314e+01 | min: -4.98750e+02 | max:  4.99000e+02
xlstm.layers.0.slstm.Wo.block.bias       | mean: -1.19193e+01 | std:  1.12277e+02 | min: -3.19000e+02 | max:  4.25750e+02
xlstm.layers.0.slstm.Rz.block.weight     | mean:  7.94800e-01 | std:  6.38480e+01 | min: -2.97000e+02 | max:  2.97500e+02
xlstm.layers.0.slstm.Rz.block.bias       | mean: -1.38860e+01 | std:  4.53192e+02 | min: -1.10000e+03 | max:  1.19300e+03
xlstm.layers.0.slstm.Ri.block.weight     | mean: -7.53834e-04 | std:  1.65171e+01 | min: -9.96875e+01 | max:  1.02000e+02
xlstm.layers.0.slstm.Ri.block.bias       | mean: -1.63414e+01 | std:  1.50474e+02 | min: -4.90500e+02 | max:  5.78500e+02
xlstm.layers.0.slstm.Rf.block.weight     | mean: -2.30522e-02 | std:  8.71805e+00 | min: -5.92188e+01 | max:  5.90000e+01
xlstm.layers.0.slstm.Rf.block.bias       | mean: -1.17237e+01 | std:  7.70146e+01 | min: -2.25500e+02 | max:  2.60000e+02
xlstm.layers.0.slstm.Ro.block.weight     | mean:  2.82921e-03 | std:  1.22034e+01 | min: -5.83750e+01 | max:  6.18438e+01
xlstm.layers.0.slstm.Ro.block.bias       | mean: -1.19193e+01 | std:  1.12277e+02 | min: -3.19000e+02 | max:  4.25750e+02
xlstm.layers.0.mlstm.layer_norm.weight   | mean: -5.27758e+00 | std:  3.71153e+01 | min: -1.38048e+02 | max:  7.90440e+01
xlstm.layers.0.mlstm.layer_norm.bias     | mean: -2.95462e+00 | std:  4.02751e+01 | min: -1.31227e+02 | max:  8.72780e+01
xlstm.layers.0.mlstm.causal_conv.conv.weight | mean: -6.55707e+01 | std:  2.20949e+02 | min: -5.39000e+02 | max:  2.85250e+02
xlstm.layers.0.mlstm.causal_conv.conv.bias | mean: -4.88845e+01 | std:  1.05297e+02 | min: -1.95250e+02 | max:  8.83750e+01
xlstm.layers.0.mlstm.Wk.block.weight     | mean:  1.76082e-01 | std:  1.51753e+01 | min: -1.38875e+02 | max:  1.05625e+02
xlstm.layers.0.mlstm.Wk.block.bias       | mean: -4.25535e+00 | std:  5.62117e+01 | min: -2.28000e+02 | max:  1.69750e+02
