Classification Report:
              precision    recall  f1-score     support
pop            0.463918  0.450000  0.456853  100.000000
classical      0.333333  0.191919  0.243590   99.000000
jazz           0.584071  0.666667  0.622642   99.000000
hiphop         0.522727  0.460000  0.489362  100.000000
reggae         0.759615  0.790000  0.774510  100.000000
disco          0.500000  0.247423  0.331034   97.000000
metal          0.601399  0.860000  0.707819  100.000000
country        0.491667  0.602041  0.541284   98.000000
blues          0.830357  0.948980  0.885714   98.000000
rock           0.398148  0.434343  0.415459   99.000000
accuracy       0.565657  0.565657  0.565657    0.565657
macro avg      0.548523  0.565137  0.546827  990.000000
weighted avg   0.548549  0.565657  0.547170  990.000000
