Classification Report:
              precision    recall  f1-score     support
pop            0.715909  0.630000  0.670213  100.000000
classical      0.666667  0.444444  0.533333   99.000000
jazz           0.738739  0.828283  0.780952   99.000000
hiphop         0.704762  0.740000  0.721951  100.000000
reggae         0.837838  0.930000  0.881517  100.000000
disco          0.681319  0.639175  0.659574   97.000000
metal          0.813084  0.870000  0.840580  100.000000
country        0.770833  0.755102  0.762887   98.000000
blues          0.950000  0.969388  0.959596   98.000000
rock           0.626087  0.727273  0.672897   99.000000
accuracy       0.753535  0.753535  0.753535    0.753535
macro avg      0.750524  0.753367  0.748350  990.000000
weighted avg   0.750512  0.753535  0.748423  990.000000
