
[Gradient Statistics for Epoch 1]
xlstm.layers.0.slstm.layer_norm.weight   | mean:  1.69092e+01 | std:  5.90512e+01 | min: -8.65308e+01 | max:  1.46364e+02
xlstm.layers.0.slstm.layer_norm.bias     | mean:  4.27253e+01 | std:  6.44305e+01 | min: -6.95451e+01 | max:  1.91629e+02
xlstm.layers.0.slstm.causal_conv.conv.weight | mean:  1.92877e+02 | std:  2.49070e+02 | min: -1.44875e+02 | max:  6.35500e+02
xlstm.layers.0.slstm.causal_conv.conv.bias | mean:  7.75375e+02 | std:  7.24221e+02 | min:  1.92125e+02 | max:  1.58600e+03
xlstm.layers.0.slstm.Wz.block.weight     | mean:  1.62165e+01 | std:  4.04597e+02 | min: -1.84300e+03 | max:  1.57600e+03
xlstm.layers.0.slstm.Wz.block.bias       | mean:  3.45147e+01 | std:  3.73867e+02 | min: -6.87500e+02 | max:  9.60500e+02
xlstm.layers.0.slstm.Wi.block.weight     | mean:  4.42573e+00 | std:  2.93734e+01 | min: -1.11000e+02 | max:  1.11125e+02
xlstm.layers.0.slstm.Wi.block.bias       | mean: -9.96313e+01 | std:  1.65176e+02 | min: -5.71000e+02 | max:  1.93750e+02
xlstm.layers.0.slstm.Wf.block.weight     | mean:  2.72525e+00 | std:  1.56040e+01 | min: -7.17500e+01 | max:  7.04375e+01
xlstm.layers.0.slstm.Wf.block.bias       | mean: -6.21512e+01 | std:  9.96527e+01 | min: -3.79250e+02 | max:  9.71250e+01
xlstm.layers.0.slstm.Wo.block.weight     | mean: -3.58888e+00 | std:  8.50225e+01 | min: -3.89750e+02 | max:  5.64500e+02
xlstm.layers.0.slstm.Wo.block.bias       | mean: -7.38217e+01 | std:  1.23320e+02 | min: -4.28250e+02 | max:  1.49125e+02
xlstm.layers.0.slstm.Rz.block.weight     | mean: -3.00427e+00 | std:  6.89215e+01 | min: -3.40500e+02 | max:  3.48750e+02
xlstm.layers.0.slstm.Rz.block.bias       | mean:  3.45147e+01 | std:  3.73867e+02 | min: -6.87500e+02 | max:  9.60500e+02
xlstm.layers.0.slstm.Ri.block.weight     | mean:  9.14649e-01 | std:  2.04515e+01 | min: -1.28000e+02 | max:  1.40625e+02
xlstm.layers.0.slstm.Ri.block.bias       | mean: -9.96313e+01 | std:  1.65176e+02 | min: -5.71000e+02 | max:  1.93750e+02
xlstm.layers.0.slstm.Rf.block.weight     | mean:  6.54520e-01 | std:  1.18767e+01 | min: -7.77500e+01 | max:  9.20000e+01
xlstm.layers.0.slstm.Rf.block.bias       | mean: -6.21512e+01 | std:  9.96527e+01 | min: -3.79250e+02 | max:  9.71250e+01
xlstm.layers.0.slstm.Ro.block.weight     | mean:  5.37596e-01 | std:  1.46821e+01 | min: -9.90625e+01 | max:  1.03875e+02
xlstm.layers.0.slstm.Ro.block.bias       | mean: -7.38217e+01 | std:  1.23320e+02 | min: -4.28250e+02 | max:  1.49125e+02
xlstm.layers.0.mlstm.layer_norm.weight   | mean:  1.05891e+00 | std:  1.52042e+01 | min: -2.91458e+01 | max:  4.70078e+01
xlstm.layers.0.mlstm.layer_norm.bias     | mean:  3.15156e+00 | std:  2.68581e+01 | min: -6.31084e+01 | max:  6.23289e+01
xlstm.layers.0.mlstm.causal_conv.conv.weight | mean:  1.04842e+02 | std:  1.48783e+02 | min: -9.83125e+01 | max:  3.14250e+02
xlstm.layers.0.mlstm.causal_conv.conv.bias | mean:  3.54312e+02 | std:  3.76283e+02 | min:  1.08562e+02 | max:  7.87500e+02
xlstm.layers.0.mlstm.Wk.block.weight     | mean: -7.09478e-01 | std:  9.02010e+00 | min: -4.00938e+01 | max:  4.53125e+01
xlstm.layers.0.mlstm.Wk.block.bias       | mean:  1.60218e+01 | std:  7.30303e+01 | min: -1.54625e+02 | max:  2.57000e+02
xlstm.layers.0.mlstm.Wv.block.weight     | mean:  3.79372e-01 | std:  1.00519e+01 | min: -4.75625e+01 | max:  4.50000e+01
