Classification Report:
              precision    recall  f1-score     support
pop            0.422222  0.380000  0.400000  100.000000
classical      0.347222  0.252525  0.292398   99.000000
jazz           0.522727  0.696970  0.597403   99.000000
hiphop         0.421875  0.540000  0.473684  100.000000
reggae         0.624060  0.830000  0.712446  100.000000
disco          0.428571  0.216495  0.287671   97.000000
metal          0.669421  0.810000  0.733032  100.000000
country        0.494118  0.428571  0.459016   98.000000
blues          0.834951  0.877551  0.855721   98.000000
rock           0.402597  0.313131  0.352273   99.000000
accuracy       0.535354  0.535354  0.535354    0.535354
macro avg      0.516777  0.534524  0.516364  990.000000
weighted avg   0.516728  0.535354  0.516798  990.000000
