Classification Report:
              precision    recall  f1-score     support
pop            0.714286  0.700000  0.707071  100.000000
classical      0.587629  0.575758  0.581633   99.000000
jazz           0.846939  0.838384  0.842640   99.000000
hiphop         0.806452  0.750000  0.777202  100.000000
reggae         0.902913  0.930000  0.916256  100.000000
disco          0.761905  0.659794  0.707182   97.000000
metal          0.789474  0.900000  0.841121  100.000000
country        0.656566  0.663265  0.659898   98.000000
blues          0.905660  0.979592  0.941176   98.000000
rock           0.724490  0.717172  0.720812   99.000000
accuracy       0.771717  0.771717  0.771717    0.771717
macro avg      0.769631  0.771396  0.769499  990.000000
weighted avg   0.769760  0.771717  0.769728  990.000000
