
[Gradient Statistics for Epoch 1]
xlstm.layers.0.slstm.Wf.block.weight     | mean:  1.16107e+01 | std:  2.71111e+01 | min: -8.10000e+01 | max:  1.14250e+02
xlstm.layers.0.slstm.Wf.block.bias       | mean: -5.94640e+01 | std:  1.34655e+02 | min: -5.13500e+02 | max:  3.27000e+02
xlstm.layers.0.slstm.Wo.block.weight     | mean: -1.00441e+01 | std:  9.97775e+01 | min: -4.29000e+02 | max:  3.64000e+02
xlstm.layers.0.slstm.Wo.block.bias       | mean: -4.84755e+01 | std:  1.24953e+02 | min: -4.52500e+02 | max:  2.18625e+02
xlstm.layers.0.slstm.Rz.block.weight     | mean: -3.02777e+00 | std:  1.81409e+02 | min: -1.29300e+03 | max:  1.66500e+03
xlstm.layers.0.slstm.Rz.block.bias       | mean: -5.70043e+01 | std:  5.47230e+02 | min: -2.66200e+03 | max:  1.99200e+03
xlstm.layers.0.slstm.Ri.block.weight     | mean:  1.10869e+00 | std:  3.02699e+01 | min: -1.50125e+02 | max:  1.63375e+02
xlstm.layers.0.slstm.Ri.block.bias       | mean: -4.91351e+01 | std:  1.36473e+02 | min: -5.38500e+02 | max:  1.81875e+02
xlstm.layers.0.slstm.Rf.block.weight     | mean:  7.43483e-01 | std:  3.40950e+01 | min: -2.61000e+02 | max:  2.93750e+02
xlstm.layers.0.slstm.Rf.block.bias       | mean: -5.94640e+01 | std:  1.34655e+02 | min: -5.13500e+02 | max:  3.27000e+02
xlstm.layers.0.slstm.Ro.block.weight     | mean:  6.52296e-01 | std:  3.07638e+01 | min: -1.41500e+02 | max:  1.68875e+02
xlstm.layers.0.slstm.Ro.block.bias       | mean: -4.84755e+01 | std:  1.24953e+02 | min: -4.52500e+02 | max:  2.18625e+02
xlstm.layers.0.mlstm.layer_norm.weight   | mean: -2.31544e+01 | std:  6.26712e+01 | min: -1.77679e+02 | max:  1.05752e+02
xlstm.layers.0.mlstm.layer_norm.bias     | mean:  2.74489e+01 | std:  6.18854e+01 | min: -9.86077e+01 | max:  1.59332e+02
xlstm.layers.0.mlstm.causal_conv.conv.weight | mean:  2.41294e+02 | std:  6.53509e+02 | min: -7.77000e+02 | max:  1.45500e+03
xlstm.layers.0.mlstm.causal_conv.conv.bias | mean: -1.69835e+03 | std:  2.02621e+03 | min: -3.87800e+03 | max:  1.27938e+02
xlstm.layers.0.mlstm.Wk.block.weight     | mean:  3.01545e-01 | std:  3.21838e+01 | min: -1.94500e+02 | max:  1.49125e+02
xlstm.layers.0.mlstm.Wk.block.bias       | mean:  6.01995e-01 | std:  5.65275e+01 | min: -2.29375e+02 | max:  1.73750e+02
xlstm.layers.0.mlstm.Wv.block.weight     | mean: -3.65270e+00 | std:  8.71121e+01 | min: -9.11000e+02 | max:  5.58000e+02
xlstm.layers.0.mlstm.Wv.block.bias       | mean:  1.14390e+01 | std:  8.55262e+01 | min: -2.16375e+02 | max:  4.93500e+02
xlstm.layers.0.mlstm.Wi.weight           | mean: -9.34042e-01 | std:  1.19887e+01 | min: -6.87500e+01 | max:  1.06562e+02
xlstm.layers.0.mlstm.Wi.bias             | mean: -2.11354e+00 | std:  2.17695e+01 | min: -6.91875e+01 | max:  1.33125e+02
xlstm.layers.0.mlstm.Wf.weight           | mean: -2.84778e+01 | std:  7.30796e+01 | min: -3.70250e+02 | max:  2.39250e+02
xlstm.layers.0.mlstm.Wf.bias             | mean: -6.73363e+01 | std:  1.39606e+02 | min: -4.94000e+02 | max:  2.44625e+02
xlstm.layers.0.mlstm.Wo.weight           | mean: -2.97013e+00 | std:  7.10288e+01 | min: -3.51250e+02 | max:  3.35250e+02
xlstm.layers.0.mlstm.Wo.bias             | mean: -3.43139e+01 | std:  7.99980e+01 | min: -3.37000e+02 | max:  1.62625e+02
classifier.weight                        | mean:  1.93659e-03 | std:  6.22135e+02 | min: -2.35200e+03 | max:  3.04600e+03
classifier.bias                          | mean: -1.66667e-02 | std:  2.34128e+03 | min: -3.75400e+03 | max:  3.63400e+03

[Gradient Statistics for Epoch 3]
xlstm.layers.0.slstm.layer_norm.weight   | mean:  1.73842e+00 | std:  2.02406e+01 | min: -5.31191e+01 | max:  3.98204e+01
xlstm.layers.0.slstm.layer_norm.bias     | mean:  8.09219e+00 | std:  2.83064e+01 | min: -5.30731e+01 | max:  4.06026e+01
xlstm.layers.0.slstm.causal_conv.conv.weight | mean: -1.33941e+01 | std:  1.59138e+02 | min: -2.79000e+02 | max:  2.09250e+02
xlstm.layers.0.slstm.causal_conv.conv.bias | mean:  5.63667e+02 | std:  1.98981e+03 | min: -1.70600e+03 | max:  2.00800e+03
xlstm.layers.0.slstm.Wz.block.weight     | mean:  1.72589e-01 | std:  8.16828e+02 | min: -3.24200e+03 | max:  6.08400e+03
xlstm.layers.0.slstm.Wz.block.bias       | mean: -1.05041e+02 | std:  8.71812e+02 | min: -3.41800e+03 | max:  2.88400e+03
xlstm.layers.0.slstm.Wi.block.weight     | mean:  7.30939e+00 | std:  4.07604e+01 | min: -1.93875e+02 | max:  9.83750e+01
xlstm.layers.0.slstm.Wi.block.bias       | mean: -3.45625e+01 | std:  1.86779e+02 | min: -4.24750e+02 | max:  8.36500e+02
xlstm.layers.0.slstm.Wf.block.weight     | mean:  9.82833e+00 | std:  5.99662e+01 | min: -2.71750e+02 | max:  1.74875e+02
xlstm.layers.0.slstm.Wf.block.bias       | mean: -4.63291e+01 | std:  2.74226e+02 | min: -7.57000e+02 | max:  1.18700e+03
xlstm.layers.0.slstm.Wo.block.weight     | mean: -1.35389e+00 | std:  1.32292e+02 | min: -5.98000e+02 | max:  5.50500e+02
xlstm.layers.0.slstm.Wo.block.bias       | mean: -4.67344e+01 | std:  2.15354e+02 | min: -4.70750e+02 | max:  9.10000e+02
xlstm.layers.0.slstm.Rz.block.weight     | mean: -3.30370e+00 | std:  3.94751e+02 | min: -2.98600e+03 | max:  2.40200e+03
xlstm.layers.0.slstm.Rz.block.bias       | mean: -1.05041e+02 | std:  8.71812e+02 | min: -3.41800e+03 | max:  2.88400e+03
xlstm.layers.0.slstm.Ri.block.weight     | mean:  5.44102e-01 | std:  4.81329e+01 | min: -2.11250e+02 | max:  2.82250e+02
xlstm.layers.0.slstm.Ri.block.bias       | mean: -3.45625e+01 | std:  1.86779e+02 | min: -4.24750e+02 | max:  8.36500e+02
