
[Gradient Statistics for Epoch 1]
xlstm.layers.0.slstm.layer_norm.weight   | mean: -4.11796e+00 | std:  3.56362e+01 | min: -9.25574e+01 | max:  1.21814e+02
xlstm.layers.0.slstm.layer_norm.bias     | mean: -4.76218e+00 | std:  2.84077e+01 | min: -7.09972e+01 | max:  8.20669e+01
xlstm.layers.0.slstm.causal_conv.conv.weight | mean:  9.97842e+00 | std:  1.39581e+02 | min: -1.96125e+02 | max:  3.33750e+02
xlstm.layers.0.slstm.causal_conv.conv.bias | mean: -9.32455e+01 | std:  9.59272e+01 | min: -1.83500e+02 | max:  9.42500e+01
xlstm.layers.0.slstm.Wz.block.weight     | mean:  6.35951e+00 | std:  1.85775e+02 | min: -9.85500e+02 | max:  9.39000e+02
xlstm.layers.0.slstm.Wz.block.bias       | mean: -1.41352e+01 | std:  1.80784e+02 | min: -7.41000e+02 | max:  4.30500e+02
xlstm.layers.0.slstm.Wi.block.weight     | mean: -5.19360e-01 | std:  1.97180e+01 | min: -1.09625e+02 | max:  1.26750e+02
xlstm.layers.0.slstm.Wi.block.bias       | mean: -1.14323e+01 | std:  5.94635e+01 | min: -1.90000e+02 | max:  1.46875e+02
xlstm.layers.0.slstm.Wf.block.weight     | mean: -1.72433e-01 | std:  4.27387e+00 | min: -2.61250e+01 | max:  2.41406e+01
xlstm.layers.0.slstm.Wf.block.bias       | mean: -3.94821e+00 | std:  1.37709e+01 | min: -4.98750e+01 | max:  3.21250e+01
xlstm.layers.0.slstm.Wo.block.weight     | mean: -1.06167e+00 | std:  1.83779e+01 | min: -1.03938e+02 | max:  8.84375e+01
xlstm.layers.0.slstm.Wo.block.bias       | mean: -6.16839e+00 | std:  2.40327e+01 | min: -1.02438e+02 | max:  4.82812e+01
xlstm.layers.0.slstm.Rz.block.weight     | mean:  1.96220e-01 | std:  1.01964e+01 | min: -4.83750e+01 | max:  6.08438e+01
xlstm.layers.0.slstm.Rz.block.bias       | mean: -1.41352e+01 | std:  1.80784e+02 | min: -7.41000e+02 | max:  4.30500e+02
xlstm.layers.0.slstm.Ri.block.weight     | mean: -1.39744e-02 | std:  2.79395e+00 | min: -1.55781e+01 | max:  1.74375e+01
xlstm.layers.0.slstm.Ri.block.bias       | mean: -1.14323e+01 | std:  5.94635e+01 | min: -1.90000e+02 | max:  1.46875e+02
xlstm.layers.0.slstm.Rf.block.weight     | mean: -6.61558e-03 | std:  6.16868e-01 | min: -4.89844e+00 | max:  4.63281e+00
xlstm.layers.0.slstm.Rf.block.bias       | mean: -3.94821e+00 | std:  1.37709e+01 | min: -4.98750e+01 | max:  3.21250e+01
xlstm.layers.0.slstm.Ro.block.weight     | mean: -6.91684e-03 | std:  1.00016e+00 | min: -6.68750e+00 | max:  6.08984e+00
xlstm.layers.0.slstm.Ro.block.bias       | mean: -6.16839e+00 | std:  2.40327e+01 | min: -1.02438e+02 | max:  4.82812e+01
xlstm.layers.0.mlstm.layer_norm.weight   | mean: -1.77332e+00 | std:  1.38509e+01 | min: -4.78185e+01 | max:  3.13635e+01
xlstm.layers.0.mlstm.layer_norm.bias     | mean: -1.37456e+00 | std:  1.63353e+01 | min: -4.32940e+01 | max:  4.30418e+01
xlstm.layers.0.mlstm.causal_conv.conv.weight | mean: -2.53051e+01 | std:  9.30184e+01 | min: -1.84250e+02 | max:  1.43750e+02
xlstm.layers.0.mlstm.causal_conv.conv.bias | mean: -2.53320e+01 | std:  1.22299e+02 | min: -1.92875e+02 | max:  1.30500e+02
xlstm.layers.0.mlstm.Wk.block.weight     | mean: -8.27792e-01 | std:  1.28899e+01 | min: -6.23438e+01 | max:  8.83750e+01
xlstm.layers.0.mlstm.Wk.block.bias       | mean: -1.90096e+00 | std:  2.48066e+01 | min: -6.06250e+01 | max:  1.00312e+02
xlstm.layers.0.mlstm.Wv.block.weight     | mean:  3.24097e-01 | std:  1.26874e+01 | min: -6.43750e+01 | max:  8.05000e+01
xlstm.layers.0.mlstm.Wv.block.bias       | mean:  6.47605e-01 | std:  1.32491e+01 | min: -3.55312e+01 | max:  6.37188e+01
xlstm.layers.0.mlstm.Wi.weight           | mean: -1.72069e-01 | std:  2.52922e+00 | min: -3.85312e+01 | max:  1.62812e+01
xlstm.layers.0.mlstm.Wi.bias             | mean: -4.22032e-01 | std:  4.15232e+00 | min: -2.00156e+01 | max:  1.01250e+01
xlstm.layers.0.mlstm.Wf.weight           | mean: -1.48514e+00 | std:  7.18438e+00 | min: -5.18750e+01 | max:  2.78281e+01
xlstm.layers.0.mlstm.Wf.bias             | mean: -4.00447e+00 | std:  1.38200e+01 | min: -5.19688e+01 | max:  3.12500e+01
xlstm.layers.0.mlstm.Wo.weight           | mean: -1.71527e-01 | std:  3.78825e+00 | min: -2.32500e+01 | max:  2.05156e+01
xlstm.layers.0.mlstm.Wo.bias             | mean: -1.47119e+00 | std:  4.86272e+00 | min: -2.16562e+01 | max:  1.13125e+01
xlstm.layers.1.slstm.layer_norm.weight   | mean:  2.65272e-01 | std:  9.47550e+00 | min: -2.66984e+01 | max:  3.45428e+01
xlstm.layers.1.slstm.layer_norm.bias     | mean:  3.46890e-01 | std:  9.17468e+00 | min: -3.03991e+01 | max:  2.75552e+01
xlstm.layers.1.slstm.causal_conv.conv.weight | mean:  5.04701e+01 | std:  1.06334e+02 | min: -1.77500e+02 | max:  3.21000e+02
xlstm.layers.1.slstm.causal_conv.conv.bias | mean:  6.87076e+01 | std:  3.77439e+01 | min:  2.42344e+01 | max:  1.19938e+02
xlstm.layers.1.slstm.Wz.block.weight     | mean:  9.28854e-01 | std:  3.82533e+01 | min: -1.98375e+02 | max:  1.89250e+02
xlstm.layers.1.slstm.Wz.block.bias       | mean: -2.49149e+01 | std:  3.65114e+02 | min: -1.06600e+03 | max:  8.90000e+02
xlstm.layers.1.slstm.Wi.block.weight     | mean:  5.42559e-01 | std:  5.67091e+00 | min: -3.44062e+01 | max:  4.56875e+01
xlstm.layers.1.slstm.Wi.block.bias       | mean: -8.46023e+00 | std:  2.66532e+01 | min: -1.10250e+02 | max:  6.02812e+01
xlstm.layers.1.slstm.Wf.block.weight     | mean:  3.82205e-01 | std:  7.40760e+00 | min: -5.44375e+01 | max:  4.56875e+01
xlstm.layers.1.slstm.Wf.block.bias       | mean: -5.88590e+00 | std:  3.59957e+01 | min: -1.18312e+02 | max:  8.81250e+01
xlstm.layers.1.slstm.Wo.block.weight     | mean: -3.12115e-02 | std:  3.08660e+00 | min: -1.95781e+01 | max:  2.20156e+01
xlstm.layers.1.slstm.Wo.block.bias       | mean: -9.80654e+00 | std:  3.59464e+01 | min: -1.27188e+02 | max:  7.61250e+01
xlstm.layers.1.slstm.Rz.block.weight     | mean:  8.64206e-01 | std:  3.74074e+01 | min: -1.96625e+02 | max:  2.06875e+02
xlstm.layers.1.slstm.Rz.block.bias       | mean: -2.49149e+01 | std:  3.65114e+02 | min: -1.06600e+03 | max:  8.90000e+02
xlstm.layers.1.slstm.Ri.block.weight     | mean: -9.49501e-03 | std:  2.17498e+00 | min: -1.16094e+01 | max:  1.45703e+01
xlstm.layers.1.slstm.Ri.block.bias       | mean: -8.46023e+00 | std:  2.66532e+01 | min: -1.10250e+02 | max:  6.02812e+01
xlstm.layers.1.slstm.Rf.block.weight     | mean: -3.51358e-02 | std:  2.86086e+00 | min: -1.69531e+01 | max:  2.04844e+01
xlstm.layers.1.slstm.Rf.block.bias       | mean: -5.88590e+00 | std:  3.59957e+01 | min: -1.18312e+02 | max:  8.81250e+01
xlstm.layers.1.slstm.Ro.block.weight     | mean: -4.26319e-02 | std:  2.93635e+00 | min: -1.77031e+01 | max:  1.97969e+01
xlstm.layers.1.slstm.Ro.block.bias       | mean: -9.80654e+00 | std:  3.59464e+01 | min: -1.27188e+02 | max:  7.61250e+01
xlstm.layers.1.mlstm.layer_norm.weight   | mean: -1.90112e+00 | std:  1.56696e+01 | min: -4.33373e+01 | max:  4.63382e+01
xlstm.layers.1.mlstm.layer_norm.bias     | mean: -9.09056e-01 | std:  1.82597e+01 | min: -4.92624e+01 | max:  5.26411e+01
xlstm.layers.1.mlstm.causal_conv.conv.weight | mean: -3.42262e+00 | std:  1.37608e+02 | min: -2.78000e+02 | max:  2.60250e+02
xlstm.layers.1.mlstm.causal_conv.conv.bias | mean: -1.53022e+02 | std:  1.44194e+02 | min: -4.46000e+02 | max:  1.60522e-01
xlstm.layers.1.mlstm.Wk.block.weight     | mean: -8.75816e-02 | std:  2.82689e+00 | min: -1.92500e+01 | max:  2.11719e+01
xlstm.layers.1.mlstm.Wk.block.bias       | mean: -4.39810e-01 | std:  5.63849e+00 | min: -1.90781e+01 | max:  2.26094e+01
xlstm.layers.1.mlstm.Wv.block.weight     | mean: -2.15943e-02 | std:  2.53878e+00 | min: -2.11719e+01 | max:  1.57656e+01
xlstm.layers.1.mlstm.Wv.block.bias       | mean: -2.33481e-01 | std:  2.94471e+01 | min: -8.34375e+01 | max:  1.00938e+02
xlstm.layers.1.mlstm.Wi.weight           | mean: -2.57788e-03 | std:  6.35598e-01 | min: -5.25391e+00 | max:  6.53516e+00
xlstm.layers.1.mlstm.Wi.bias             | mean: -5.39685e-03 | std:  1.19863e+00 | min: -5.49609e+00 | max:  3.77148e+00
xlstm.layers.1.mlstm.Wf.weight           | mean: -1.12981e+00 | std:  1.63973e+01 | min: -1.17188e+02 | max:  8.55625e+01
xlstm.layers.1.mlstm.Wf.bias             | mean: -5.20461e+00 | std:  3.43595e+01 | min: -1.14125e+02 | max:  8.74375e+01
xlstm.layers.1.mlstm.Wo.weight           | mean: -2.11776e-02 | std:  2.45086e+00 | min: -1.34922e+01 | max:  1.50156e+01
xlstm.layers.1.mlstm.Wo.bias             | mean: -4.23323e+00 | std:  2.81253e+01 | min: -9.08750e+01 | max:  5.94688e+01
classifier.weight                        | mean: -1.97147e-03 | std:  2.11301e+02 | min: -8.09000e+02 | max:  8.87000e+02
classifier.bias                          | mean:  1.21429e-01 | std:  3.15951e+03 | min: -7.27200e+03 | max:  6.55200e+03

[Gradient Statistics for Epoch 2]
xlstm.layers.0.slstm.layer_norm.weight   | mean: -6.70746e+00 | std:  3.64866e+01 | min: -1.82682e+02 | max:  9.47691e+01
xlstm.layers.0.slstm.layer_norm.bias     | mean: -3.07910e+00 | std:  4.81489e+01 | min: -1.20142e+02 | max:  1.78198e+02
xlstm.layers.0.slstm.causal_conv.conv.weight | mean:  3.45332e+01 | std:  2.19877e+02 | min: -5.46000e+02 | max:  4.21250e+02
