Classification Report:
              precision    recall  f1-score     support
pop            0.468468  0.520000  0.492891  100.000000
classical      0.357143  0.050505  0.088496   99.000000
jazz           0.435484  0.272727  0.335404   99.000000
hiphop         0.381295  0.530000  0.443515  100.000000
reggae         0.605839  0.830000  0.700422  100.000000
disco          0.390244  0.329897  0.357542   97.000000
metal          0.437186  0.870000  0.581940  100.000000
country        0.416000  0.530612  0.466368   98.000000
blues          0.770642  0.857143  0.811594   98.000000
rock           0.500000  0.060606  0.108108   99.000000
accuracy       0.485859  0.485859  0.485859    0.485859
macro avg      0.476230  0.485149  0.438628  990.000000
weighted avg   0.476155  0.485859  0.438856  990.000000
