
[Gradient Statistics for Epoch 1]
xlstm.layers.0.slstm.layer_norm.weight   | mean: -1.48334e+00 | std:  7.29099e+00 | min: -2.10945e+01 | max:  2.71164e+01
xlstm.layers.0.slstm.layer_norm.bias     | mean: -5.66198e+00 | std:  7.61516e+00 | min: -2.70917e+01 | max:  1.23477e+01
xlstm.layers.0.slstm.causal_conv.conv.weight | mean:  1.99961e+02 | std:  1.82389e+02 | min: -1.98594e+01 | max:  6.90500e+02
xlstm.layers.0.slstm.causal_conv.conv.bias | mean:  6.10321e+02 | std:  1.87310e+02 | min:  2.92500e+02 | max:  8.21500e+02
xlstm.layers.0.slstm.Wz.block.weight     | mean: -3.78306e+00 | std:  4.67000e+02 | min: -1.92100e+03 | max:  1.83000e+03
xlstm.layers.0.slstm.Wz.block.bias       | mean: -2.47461e+01 | std:  4.93964e+02 | min: -1.65600e+03 | max:  1.16900e+03
xlstm.layers.0.slstm.Wi.block.weight     | mean:  4.59500e-01 | std:  7.95265e+00 | min: -3.38125e+01 | max:  4.36562e+01
xlstm.layers.0.slstm.Wi.block.bias       | mean: -1.47129e+01 | std:  1.39284e+02 | min: -4.53750e+02 | max:  3.52750e+02
xlstm.layers.0.slstm.Wf.block.weight     | mean:  3.47813e-01 | std:  4.16920e+00 | min: -1.97656e+01 | max:  2.26562e+01
xlstm.layers.0.slstm.Wf.block.bias       | mean: -1.15006e+01 | std:  7.39740e+01 | min: -2.40625e+02 | max:  1.72875e+02
xlstm.layers.0.slstm.Wo.block.weight     | mean: -4.51760e+00 | std:  8.83845e+01 | min: -4.85750e+02 | max:  4.64000e+02
xlstm.layers.0.slstm.Wo.block.bias       | mean: -1.03455e+01 | std:  1.00370e+02 | min: -4.05750e+02 | max:  2.61500e+02
xlstm.layers.0.slstm.Rz.block.weight     | mean:  1.77309e-01 | std:  6.20043e+01 | min: -3.25500e+02 | max:  3.17500e+02
xlstm.layers.0.slstm.Rz.block.bias       | mean: -2.47461e+01 | std:  4.93964e+02 | min: -1.65600e+03 | max:  1.16900e+03
xlstm.layers.0.slstm.Ri.block.weight     | mean:  1.77839e-01 | std:  1.59940e+01 | min: -8.34375e+01 | max:  8.08750e+01
xlstm.layers.0.slstm.Ri.block.bias       | mean: -1.47129e+01 | std:  1.39284e+02 | min: -4.53750e+02 | max:  3.52750e+02
xlstm.layers.0.slstm.Rf.block.weight     | mean:  1.32144e-01 | std:  8.40508e+00 | min: -4.39688e+01 | max:  4.99375e+01
xlstm.layers.0.slstm.Rf.block.bias       | mean: -1.15006e+01 | std:  7.39740e+01 | min: -2.40625e+02 | max:  1.72875e+02
xlstm.layers.0.slstm.Ro.block.weight     | mean:  1.46405e-01 | std:  1.19177e+01 | min: -5.92500e+01 | max:  6.14062e+01
xlstm.layers.0.slstm.Ro.block.bias       | mean: -1.03455e+01 | std:  1.00370e+02 | min: -4.05750e+02 | max:  2.61500e+02
xlstm.layers.0.mlstm.layer_norm.weight   | mean: -2.67518e-02 | std:  9.25611e+00 | min: -2.51879e+01 | max:  3.56360e+01
xlstm.layers.0.mlstm.layer_norm.bias     | mean:  1.73624e-01 | std:  1.00978e+01 | min: -3.25169e+01 | max:  2.95122e+01
xlstm.layers.0.mlstm.causal_conv.conv.weight | mean:  3.54836e+01 | std:  2.00415e+02 | min: -4.08500e+02 | max:  3.49500e+02
xlstm.layers.0.mlstm.causal_conv.conv.bias | mean: -3.26239e+01 | std:  2.11994e+02 | min: -3.67750e+02 | max:  2.32375e+02
xlstm.layers.0.mlstm.Wk.block.weight     | mean: -8.64591e-02 | std:  4.53127e+00 | min: -2.33594e+01 | max:  2.82812e+01
xlstm.layers.0.mlstm.Wk.block.bias       | mean:  3.38052e+00 | std:  6.73169e+01 | min: -2.38500e+02 | max:  2.30250e+02
